stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.09,0.96,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,1.79,0,0,0,0,0,0
 24-34,0,0,0.6,0,0.73,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,7.06,0,0,0,1.06,0,0,0,0,0
 36-46,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0
 48-58,0,1.29,0,0,1.94,0,0,0,0,0,0,0,0,0,0,0.83,0,0,3.69,0.62,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,4.07,0,0,0.58,0,0,0,8.25,0,0,0,11.51,0,0,1.14,0,0,0,0,0,0,0.57,0,0,0
 72-82,0,0,0,0,2.47,0,0,1.95,0,0.6,0,0,0,22.85,0,31.51,0,0,0,7.32,0,1.35,0,0,0,0,0,0,0
 84-94,0,0,0,0,6.81,0,0,3.52,0,0,0,9.69,0,105.26,0,33.22,0,0.76,0.57,2.35,0,0,0,0,4.42,0,0,0,0
 96-106,0,1.31,3.61,0,7.43,0.78,0,5.04,1.23,0,0.65,0,0,491.54,0,65.86,1.47,0,1.36,77.91,0,2.8,0,0,0,0,6.26,0,7.09
108-118,0,3.38,0,1.05,22.17,0,0,5.14,5.94,0.86,0.62,0,0.74,1188.58,0.51,202.46,0.53,0,1.2,81.19,0.5,3.16,0,1.41,0,0,4.31,1.04,0
120,0,0,0,0,9.85,0,1.67,13.09,0,0,10.81,0,0,1778.45,0,182.26,0,0,1.64,124.91,0,16.61,0,0,0,0,0,0,0
