stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,21.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11,0,0,0,4.36,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.67,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 24-34,0,0,0,17.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,1.77,0,0,0,0,0,0
 36-46,0,0,0,37.85,0,0,0,0,0,0,0,0,0,0,5.83,0,0,0,4.57,0,0,0,0,0,0.81,0,0,0.73,0,0,0,0
 48-58,0,1.06,0,84.68,0,0,0.7,0,0,0,0,0,0,0,0.55,0,0,0.4,22.07,0,0,0,0,0,0,0,0,0.92,0,0,0,0
 60-70,0,0,0,1271.17,0,0,0,0,0,2.95,0,0,1.16,0,0,0,0,0,32.86,0,0,0,0,0,0,0,0,0.76,0,0,0,4.4
 72-82,0,8.38,3.99,3341.33,1.57,3.24,13.71,0,0.9,1.53,0,0,0,0,18.44,1.11,1.99,0.79,75,0,0,1.42,0,5.59,0,0,0,9.77,2.31,0,7.48,10.38
 84-94,0,7.88,0,4052.75,0.9,0,37.18,1.62,0,0,0,0.62,0,0,12.66,0,2.06,0.79,43.37,2.15,9.12,0,0,1.58,0,0.8,0,0,0,0,0,5.87
 96-106,0,6.64,1.32,3444.81,0.9,8.69,34.09,0,0,5.2,0,0,0,14.8,17.98,0,0,0.63,75.35,0,0,0,0,4.95,0,0,0.6,0,0,1.74,4.53,4.04
108-118,0,14.07,2.13,2914.18,1.06,1.39,15.78,0.63,0,0,0,2.46,0,1.29,21.19,0,0,7.87,81.27,0.46,0,2.26,0,3.98,0,1.48,0,0,0,0,3.74,0
120,0,10.78,1.76,3014.17,0,1.67,45.8,0,4.47,26.82,1.48,0,0,11.85,47.66,16.75,0,1.88,126.94,0,0,2.2,0,4.21,0,2.11,0,0,0,0,0,0
