stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.03,2104.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,114.93,1835.9,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.55,0,0,0,11.43,0,55.09,0,0,0,0,0,0,0,0,0,0,0
  7-9,44.06,53.75,0,36.02,0,0,208.45,0,0,0,0,0,29.91,0,0,0,0,0,0,0,0,0,0,1221.84,73.56,0,0,445.44,0,0,14.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,33.95,0,21.26,0,5.34,107.35,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,0,0,887.74,21.08,0,0,274.64,0,0,0,0,31.77,0,4.89,0,0,0,0,0,0
 14-21,0,0,0,2.89,31.8,0.82,25.64,0,0,0,11.31,1.66,0,1.52,0,0,0,0,0,73.7,0,0,44.96,546.73,3.62,1.07,0.93,7.45,0,2.05,0,23.96,0,14.94,49.91,134.66,0,0,3.41,0,0
 24-34,0,0,0.67,3.27,5.65,4.24,104.01,0,3.89,1.89,42.1,0,0,36.98,0,0,3.27,0.79,2.91,204.72,0,0,87.82,1414.23,9.21,0,8.42,0,1.61,6.34,0,0,2.24,5.32,11.14,264.01,0,0,18.75,0,0.63
 36-46,0,0,1.93,0,18.09,0.6,219.92,4.56,4,8.91,95.72,0,0,15.42,0,0,0,0,1.21,250.36,0,4.66,36.57,1096.72,0.9,0,6.36,0,10.77,2.1,0,0,0,10.95,0,246.29,0,1.23,13.52,0,0
 48-58,0,0,0,0,14.68,0.9,281.01,0.4,4.97,15.51,236.3,0,0,7.59,0,0,5.7,0.98,1.71,283.13,0,11.07,45.93,672.15,7.96,0.47,7.49,0,0.59,0.43,0,0,0,4.83,0,180.91,0,1.56,19.69,0.5,1.35
 60-70,0,0,0,0,6.39,0,227.41,1.4,14.03,7.66,242.46,0.85,0,5.67,3.99,0,9.69,0,1.2,347,0,7.54,28.27,365.82,6.86,0,2.81,0,6.12,5.5,0,0,0,0,0,75.15,0,1.58,13.86,0.98,0
 72-82,0,0,0,0,1.32,4.99,124.51,0.9,0.7,25.1,282.31,0,0,7.23,0,0,3.52,1.63,2.82,396.44,0,23.15,48.29,228.99,0,0,3.36,0,8.73,0.58,0,0,0,4.91,0,35.4,0.87,13.42,14.61,10.21,8.85
 84-94,0,0,0,0,10.54,0.65,109.23,0.75,0.9,26.28,213.63,1.61,0,2.88,0.72,0,0,1.29,1.81,312,0,25.55,32.58,200.26,1.68,0,6.84,0,9.31,0.64,0,0,2.91,0,0,59,3.4,10.58,8.61,5.09,5.36
 96-106,0,0,0,0,6.57,0,115.61,2.85,5.8,7.8,253.74,3.68,0,6.02,1.14,0.85,0.92,0.78,5.53,276.7,4.56,23.77,9.13,153.4,0.85,0.66,11.99,0,7.54,6.85,0,0,0,0,0,21.91,0,4.04,38,4.68,0
108-118,0,0,0,0,7.89,6.81,72.88,0.64,2.5,6.38,260.95,0,0,3.89,0,0,0,0.64,4.35,361.16,0,20.98,25.31,237.23,1.34,0.7,9.27,0,8.59,0.51,0,0,0,2.58,0,14.51,0,0,4.85,3.34,3.76
120,0,0,0,0,18.71,1.36,107.29,0,5.81,44.87,413.2,4.33,0,4.2,0,0,9.96,0,0,317.31,0,13.7,28.22,398.32,1.96,0,27.45,0,4.48,3.29,0,0,0,1.99,0,13.33,0,21.47,26.51,4.2,0
