stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,9.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.56,0,0,4.33,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,1.07,0,0,0,8.45,0,0,0,0
 24-34,0,0,8.43,3.61,0,0.8,0,0,0,0,0,0,0,0,3.75,0,0,0,40.01,0,0,0,0,0.97,0,16.33,0,0,106.24,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,14.81,0,0,0,0,0,0,10.38,0,0,0,3.38,0,0,7.65,0,0,168.34,0
 48-58,0,0,0,0,0,2.68,0,0.37,0,3.1,0,2.56,0,0,3.75,0,0,1.36,3.37,0.41,0,0,0,4.98,0,9.42,0,0,267.02,0
 60-70,0,0,6.26,0,0,13.1,0,0,0,0,0,8.36,0,0,0.72,0,3.64,0,25.68,0,0,0,0,0,4.15,6.96,0,0,241.16,0
 72-82,0,0,3.46,0,0,10.29,0,0,0,0.78,0,0,0,0,20.61,0,18.51,0.5,7.42,0,0,0,0,0,0,0,0,0,832.8,1.24
 84-94,0,0,0,3.82,0,5.91,0.79,0,0,0,0,0,0,8.68,0,0,4.95,0,14.21,0,0,0,0,2.99,1.92,0,0,0,1066.75,0
 96-106,0,1.79,2.14,1.07,0,20.57,0,0,47.13,1.68,0.61,0,0,9.54,23.18,0,74.75,0,77.02,0,4.02,0,10.43,0,0.61,0,0,0.87,1138.63,0
108-118,0,0,0,0,0.89,8.43,0,0,0,4.9,0,0,0.42,0,31.6,5.99,115.29,0.43,114.75,0.42,0,0,0,0,0.97,3.64,1.66,0.69,984.99,0
120,0,0,35.34,0,15.97,17.37,0,0,0,0,0,0,0,0,0,0,227.66,5.65,106.26,0,0,0,0,0,0,9.81,0,9.46,815.14,0
