stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.68,14.8,61.61,15.6,0,0,0,6.02,1.03,0,0,0,0,0,0,0,0,15.84,0,0,6.49,262.08,3.62,1.2,20.21,6.57,0,4.09,1.27,10.39,1.37,15.4,68.78,0,1.25,0,9.35
 24-34,0,0.67,8.27,128.07,67.17,0,0,0,7.12,0,0,1.13,0,12.85,0,0,0.67,0,58.92,0.76,0,11.92,994.59,1.55,3.16,40.96,0,0,0.83,0,0,0,16.66,173.03,0,7.64,0,0.69
 36-46,0,0,1.17,18.68,161.2,0,1.88,0.6,16.39,1.15,0,0,0,30.79,0,0,1.69,0,32.61,2.07,0,5.52,854.43,0,1.77,43.01,0,0,1.61,0,0,0,0,149.68,0,4.53,0,0
 48-58,0,0,13.13,54.39,256.3,0.58,2.12,0,53.55,0,0,0,0.47,21.38,0,1.39,0,0,50.57,2.9,0,6,891.8,0.63,0.92,39.48,0,0,4.08,0,0,0.73,0,157.34,0,7.72,0,2.82
 60-70,0,0,6.32,48.23,225.21,0,0,0.86,22.09,0,0,0,5,46.4,0,1.06,0,0,31.19,0,0.87,6.03,464.51,0,0,42.99,0,1.22,0.71,0,0,0.62,0,57.73,0,8.14,0,0
 72-82,0,0,1.75,130.91,237.82,0,0,0.85,21.24,1.55,0.65,0,5.63,46.53,0,0,0,0,63.71,1.48,0,17.21,553.15,0,0,48.38,0,1.12,0.55,0,0,0,0,76.46,0,21.11,0,0
 84-94,1.15,0,10.21,132.1,102.06,0,0.78,1.97,15.34,0,0,2.32,2.8,61.7,0,0,9.96,0,33.26,1.95,0,6.01,317.71,0,11.64,79.56,0,0,2.72,0,0,0,0,31.21,0,16.32,0,0
 96-106,0,0,8.18,227.62,48.69,0.62,0,1.48,5.75,1.52,0,0,5.07,91.13,0,0,0,0.69,31.59,3.5,8.04,4.68,127.88,0,2.69,77.13,0,0,3.96,0,0,0,0,11.58,1.83,27.68,0.64,0
108-118,0,0,7.39,131.32,64.24,8.81,0.96,1.44,13.77,0,0,0,6.63,57.67,1.61,0.82,1.09,0,30.97,0.94,0,2.46,177.06,0.77,6.53,75.93,0,0,2.27,0,0,0,0,5.24,1.2,25.84,0,0.42
120,0,0,8.73,215.75,126.56,2.52,0,0,17.1,0,0,0,6.97,46.98,0,0,0,0,24,0,10.4,0,180.21,0,3.27,62.56,0,0,0,0,0,0,0,8.67,0,26.8,0,0
