stage,epidermis,eye,fin.epithelia,glial,mesenchyme,muscle,neural,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle
 14-21,1.02,0,0,0,0,0,2.27,1.37,0,0
 24-34,0,0,0,0,1.18,0.59,2.34,0,0,0
 36-46,0,0,0,0,1.32,0,7.59,0,1.19,0
 48-58,0,0.99,0,0,0.88,0,5.85,0,0.61,0
 60-70,0,3.68,0.68,0,0,0,19.62,0,0,0
 72-82,0.82,0,0,0,0.94,0,12.42,0,0.82,0.53
 84-94,0,0,0,0,0,0,2.85,0,0,0
 96-106,0,0,0,0.94,0,0,3.24,0,0,0
108-118,0,3.13,0,0,0,0,2.28,0,0,0
120,0,0,0,1.16,0,0,25.08,0,0,0
