stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0.88,18.11,0,0,1.04,0,0,0,0.98,0,0,0,0,1.72,0,0,0,0,0,0,0,2.39,27.15,1.05,3.26,0,1.21,0.89,14.85,0,0,0,0
 24-34,0,0,0.87,0,0,2.24,0,0,0,3.32,0,0,1.23,0,0,0,3.2,3.57,0,3.71,0,0,0.75,59.2,0,93.2,0,0,0,38.7,0,0,6.3,0
 36-46,0.99,0,21.32,0,0,3.48,0,17.24,0,2.17,0,8.29,0,0.81,0.77,0,1.88,0,0,0.98,0.68,0,0.83,59.57,0,107.32,0.57,1.03,2.03,10.52,0,0,0.98,0
 48-58,0.39,0,7.81,0,0,8.26,0,0,0.51,4.57,0,2.27,0,0,0.37,0,0.98,4.43,0,5.43,1.2,0.53,3.58,44.11,0,98.09,3.51,2.27,0,17.7,0,0,0,0
 60-70,0,0,0,1.02,0,28.64,0,4.17,0.62,6.43,0,6.65,0,7.76,0,0,0,0,0,13.23,0,0,9.15,71.47,0.66,135.73,0,4.54,0,24.82,0,0,7.14,0
 72-82,0,0,0.66,7.41,0,28.83,0.75,0,0,5.82,0.99,0.52,0,0,0,0,2.37,0,0,17.55,1.8,0,0.71,115.85,0,181.9,0.56,0,1.74,14.08,1.58,0,0,0
 84-94,0,0,1,6.73,0,18.25,0,0,0,10,1.97,0.64,0.82,2.25,1.74,0,3.32,0,0,5.97,2.19,0,0.58,91.56,0,175.19,0.66,6.73,1.79,4.21,1.85,0.64,0,0
 96-106,0.99,0,2.8,11.3,0,15.05,0.71,1.1,0,9.53,1.15,0,0,1.18,0.58,0,2.46,7.31,0.69,17.19,13.95,0,0,76.56,0,280.99,3.6,1.22,0.89,4.78,0,0,0,1.26
108-118,1.77,0.74,3.5,0,0.48,27.31,0,0,0,18.7,1.24,0,0,1.08,2,0,0.43,0.93,0,27.77,2.75,0,0,82.3,0.51,186.89,3.14,3.78,0.52,4.98,2.27,0.54,1.47,0
120,0,0,5.61,0,0,29,0,0,0,6.03,0,0,0,0,0,6.33,3.85,9.76,0,9.97,0,0,0,64.63,0,168.15,0,0,0,2.14,0,0,0,0
