stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,0.8,5.42,0,0.99,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,37.43,0,0,0,0,0,5.45,0,1.64,6.62,1,0
 24-34,0.73,1.22,0,10.83,0,0,0,1.24,0,0,0.71,0,0,0,0,9.95,0,0,1.16,154.49,0.59,0.6,0,0,5.35,0,0,0.71,25.68,0,0
 36-46,0,0.7,0,27.85,0,0,0.89,2.92,0,0,0,0,0,0,0,4.78,0,1.06,0,112.43,0,0.78,0,0,0,0,0,0,15.91,1.98,0
 48-58,0,2.64,0,47.59,0,0,0,7.02,0,0,0.49,0,0.92,0,0,15.34,0.37,0.52,0.39,110.14,0,0,0,0,0,0,0,0,26.78,0.88,0
 60-70,0,0,0,113.11,0.61,0,0,7.85,0,0.71,0,0,0,0,0,12.44,0,0,2.43,99.12,0,0,0,0,0,0,0,0,16.09,1.36,0
 72-82,0,0,4.04,64.07,0,0,0.58,7.76,0,0,0,0,0,0,0,10.68,0,1.11,2.19,81.67,0,0,0,0,0,0,0,0,5.85,0.64,5.6
 84-94,0,0.57,0,57.24,0,0,0.73,9.04,0,0,0,0.56,0,0,0,18.38,0,0,0.86,57.41,0.67,0,1.05,0,0,0,0.74,0,12.85,0,0
 96-106,0,2.47,0,40.68,0,0.56,0,4.18,0.74,0,0.65,0,0,1.25,0,11,0,0,0.59,44.55,0,0,0,2.69,3.91,0,0,0,17.14,0,0
108-118,0,1.18,0.43,17.88,0,1.17,0.72,9.75,0,0,1.34,0,0,0,0.94,8.17,0,0,0.5,44.93,0,1.02,0,0,3.7,0,0,0,1.17,0,0
120,0,5.3,0,12.48,0,1.19,0,11.05,0,0,0,0,0,0,0,2.39,0,0,2.81,61.05,2.98,0,0,0,0,0,0,0,7.79,0,0
