stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,88.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.72,0,0,0,0,0,0,0,0,0,0
  5-6,7.99,19.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.1,0,0,0,0,0,8.78,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,93.12,3.65,0,0,44.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.37,0,24.2,0,5.14,0,16.12,0,0,0,0,0,8.15,0,0,0,0,0,0,0,0,0,131.2,3.72,0,0,36.09,0,3.03,0,26.67,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.65,0,0,0,0,0,0,1.02,1.21,0,0,0,0,0,0,2.94,0,0,4.41,16.59,0,1,0,0.88,5.73,0,1.94,0,0,3.58,6.36,0,0,1.09,0
 24-34,0,0,0,0,1.55,0.61,0,4.29,0,0,0,0.9,0,0,0,0,0,0,0,7.52,0,0.89,2.67,20.2,0,1.32,11.92,0,14.33,0,0,0,0,2.79,3.14,0,0,2.23,0
 36-46,0,0,0,0,8.66,2.06,0,2.2,3.52,2.49,0,0,0,0,0,0,0,0,0,10.05,0,0,0.63,31.09,0,1.48,0.72,0,9.87,0,0,0,1.49,0,0,0,0,2.59,0
 48-58,0,0,0,0,3.29,1.45,0,1.63,0.46,0.41,1.1,4.54,0,0,0,0.64,0,0,0,6.4,0,0.65,2.54,12.46,0,0,0,4.77,1.45,0,0,0,0,0,2.97,0,0,0.6,0
 60-70,0,0,0,0,0,0,0,5.31,0,0,0,1.4,1.59,0,0,1.36,0,0,0,6.72,0.65,8.23,0,31.35,3.11,2.85,0,0,12.45,0,0,0,0,0,0,0,0,1.05,0
 72-82,0,0,0,0,9.8,7.8,0,6.58,0,0,0,1.71,0.71,0,0,0.67,0,0,0.81,4.64,0,3.75,0,19.15,0,2.88,0,0,3.79,0,0,0,0,0,0,0,0,6.38,0
 84-94,0,0,0,1,6.64,4.86,0,10.57,0,0.75,0,3.22,1.22,0,0,2.29,0,0,0,8.83,0,5.87,0,8.67,0,0,0,0,32.78,0,0,0,0,0,0,0,0,2.52,4.99
 96-106,0,0,2.86,0,6.96,32.41,0.8,17.61,0,0,0,1.52,1.43,0,0,2.27,3.58,1.38,2.96,4.41,0,0,0,15.16,0,0,2.73,0,40.06,0,0,0,0,0,0,0,1.26,3.39,0.91
108-118,0,0,3.86,0,4.86,2.62,0,17.72,0,0,0.74,4.16,7.94,0,0.47,0.65,1.86,2.09,0,23.24,0,3.73,0,11.82,0,2.53,4.3,0,15.86,0,0,2.16,0,0,0,1.6,0,2.45,0
120,0,0,0,0,13.07,0,0,15.12,0,1.45,0,0,13.89,0,0,10.87,0,0,0,2.2,0,0,1.15,9.12,4.62,0,0,0,7.65,0,0,0,0,0,0,1.19,0,10.92,12.41
