stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.9,0,0,0,0,0,0,3.11,1.08,0,0,0,0,0,0,0,0,0,0,0,6.74,3.47,0,0,0,2.71,0,0.9,0.84,2.42,8.47,0,0,0,0,0
 24-34,0,1.43,0,0,2.02,0,0,0,12.96,0,0,0,1.75,0,0,13.95,0,9.03,0,0,3.68,66.81,29.63,0,0,0,1.5,0,0,0,0,44.2,0,0,0,0,0
 36-46,0.73,0,0,0,16.13,0,0,0,5.83,0,0,0,0,0,0,0,0,4.66,0,0,4.77,420.61,34.42,13.15,16.41,0,5.79,0,1.34,0,0,82.48,0,0,0,0,1.45
 48-58,0,3.49,0,0,50.19,0.73,0,2.5,4.77,0.41,0,0,0,0,0,0,0,15.24,1.91,0,5.18,615.98,16.29,0,0,0,16.18,0,0.49,0,0,68.29,0,0,0.43,0,2.76
 60-70,0,1.56,0,0,346.15,1,1.18,0.87,9.77,0,0,0,0,0,0,0,0,24.9,0,0,3.63,1308.69,20.95,0,0,0,8.27,0,0,0,0,104.18,0,0,0,0,7.79
 72-82,0,6.94,5.82,0,556.93,0.95,0,0,29.58,0,0,0,0.61,0,0,0,0,24.43,2.41,2.91,5.31,1394.69,46.6,7.44,0,0,1.59,0,1.2,0,0,138.41,0,0,1.61,0.52,1.08
 84-94,0,6,0,0,524.48,0,0.57,6.84,12.56,1.62,1.5,0,0,3.96,0,0,0,54.09,4.49,2.01,1.29,1021.03,22.4,5.73,0,0,10.58,1.4,1.26,0,0,92.71,4.29,1.64,0,1.13,0
 96-106,0,7.04,5.88,0,480.24,0,2.05,0,30.16,8.65,0,0,0,10.38,0,9.42,0,36.37,3.74,2.25,0,954.69,30.72,14.07,0,1.28,2.34,0,0,0,0,40.93,2.05,1.76,0,0,0
108-118,0,14.8,0,5.03,461.48,2.02,0,1.74,28.01,0.82,0,0.63,0,0.56,0,0,8.81,28.58,0,8.53,1.42,1187.68,26.2,9.14,0,2.37,3.08,0,1.83,0,0,30.23,1.38,0,0.8,1.03,0
120,0,7.8,3.66,0,432.19,0,1.31,0,25.03,14.24,0,0,0,0,2.11,0,0,35.51,0,4.81,7.09,1865.16,39.04,19.44,0,0,2.9,0,0,0,0,48.56,2.39,0,0,0,0
