stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.29,0,0,0,3.7,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.86,0,0,0,18.02,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.17,0,0,8.57,0,0,0,1,0,1.22,0,0,0,0,0,0,6.31,0,0,5.58,67.88,0,0,1.09,1.03,6.76,3.29,0.85,16.44,15.4,0,0,0
 24-34,0,0,0.79,4.87,0.69,0,13.64,0,0,9.24,0,0,0,0,4.02,0,0.73,0,0,9.43,0,0,3.98,89.22,0,1.02,0,0,24.49,0,0.6,2.25,20.8,6.54,0,0.72
 36-46,0,0,0,0,0,0,7.02,0,0,5.11,0,0.59,0,0,0,0,0,0,0,4.75,0,0,2.06,57.98,0,0.59,2.02,0,3.35,0,0,0,7.51,0.99,0,1.22
 48-58,0,0.42,0,0,0,0,24.07,0,0,5.73,0,0,0.73,4.81,0,0,0,0,0,4.1,0.57,0,3.19,81.94,0,1.18,0,0,3.04,0,0,0,27.89,2.43,0,0
 60-70,0,0,0,3,0.78,0,24,0,0,2.4,0,0,0,1.28,0,0,0,0,0,6.46,0,0,0,45.95,0,0.98,3.69,0,2.38,0,0,0,2.24,1.24,0,0
 72-82,0,0,0,1.11,0,0,59.45,0,0,8.64,0,1.02,0,0.83,0,0.76,0,0,0,13.6,1.53,0.87,0.76,79.42,0.81,7.06,0,0,4.88,0,0.55,0,13.72,0,0,0
 84-94,0,0,0,3.82,0,0,50.67,0,0.85,7.47,0,0,0,4.2,0.55,0,0,0,0,5.46,0,0.86,0,42.96,2.17,0,0.97,0,26.57,0,0,0,0,0.61,0.82,0
 96-106,0,0,0,0.63,5.45,0,28.76,0,0,18.92,3.16,0,0,3.44,0.93,0,1.11,0,0,8.34,0,0,4.15,14.13,3.2,7.44,1.43,0,36.96,0,0,0,2.52,0,0,0
108-118,0,1.18,0,7.37,0,1.76,52.31,0,0,7.58,1.33,0,0,0,0,0,0.42,0,0.83,8.45,1.79,0,1.29,74.51,2.09,1.82,0.62,0,9.2,0,0,0,12.09,0.63,0.97,2.19
120,0,0,0,4.05,0,0,48.97,2.57,0,1.78,0,0,0,6.51,2.51,2.23,0,7.1,0,20.69,2.05,0,7.5,118.1,4.81,7.9,0,0,21.29,0,0,0,0,0,0,0
