stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,10.18,48.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,114.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,14.33,0,0,0,3.67,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.91,0,0,0,0,0,0,0,0,1.84,0,0.86,38.63,1.97,2.73,0,0,0,0,5.21,20.55,0
 24-34,0,0,0,0.61,0,4.82,0,0,0,0,0,0,0,0,0,85.8,0,2.55,1.65,0,0.74,3.08,0,19.43,0
 36-46,0,0,0,0,0,7.92,0,0,4.22,0.73,0,9.59,1.33,0,1.84,85.69,0,0,0,0,0,0,0,11.06,0
 48-58,0,0,0,1.55,0,37.29,0,0,16.16,0,0,0,6.22,0,2.09,86.04,0,0.88,0,0,0,0,0,16.41,0.56
 60-70,0,0,0,0,0,63.13,0,0,7.06,0,2.84,0,5.65,0,0,50.47,0,4.45,0,0,0,0,0,6.1,12.68
 72-82,0,0,0,0,2.53,30.34,0,0,17.47,0,0,0.93,10.96,0,1.59,60.22,0,1.8,0,0,0.96,0,0,1.94,0
 84-94,0,0,0,0.66,0,32.77,0,0,7.96,0,0,0,7.88,0,3.28,36.16,0,0,0,0,0,0,0,2,0.62
 96-106,0,0,0,0,3.56,23.25,1.14,0,12.11,1.86,0,0,13.7,0,1.34,28.45,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.5,0.69,12.69,0,0,9.65,0,0,0,0.91,0.49,0.61,40.1,0,0.91,0,0,0,0,0,0,3.83
120,0,0,0,0,0,12.31,0,1.04,0,4.46,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0
