stage,epidermis,fin.mesenchyme,immune,ionocyte,mesenchyme,neural,periderm
 60-70,0,0,0,0,0.86,0,0
 72-82,0,0.94,0,0,0,2.09,0
 96-106,1.3,0,0,0,0,0,1.89
108-118,5.44,0,0.58,1.26,0,0,0
120,2.53,0,0,2.24,0,0,0
