stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature
  5-6,14.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0,0,5.93,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,1.16,1.01,0
 24-34,0,0.67,0,0.69,0,0,0,0,0,0,2.01,1.24,0,0,8.04,0.61,0,0,0,0,0,0.73,0.6
 36-46,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,11.26,1.14,0,0,0.89,0,0,3.2,0
 48-58,0,0,0,0,1.62,0,0,0.64,0,0,0.53,0,0,0,17.21,0,0,0,0.57,0,0,4.05,0
 60-70,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,6.28,0,0,0,0,0,0,0.96,0
 72-82,0,0,0,0,4.78,0,1.03,0,0,1.19,0,0,0,0,7.37,0,0.5,0,0,0,0,2.88,1.95
 84-94,0,0,0,1.29,2.27,0,0.57,0,0,0,0.99,0,0,2.03,5.11,0,0,0,0,0.63,0,0,0
 96-106,0,0,0,10.66,4.43,0.62,2,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0
108-118,0,0,0.45,0,0,0,0,0,1,0,0,0,0,0,0.81,0,0,0,1.75,0,0,0,0
120,0,0,0,1.79,7.39,0,0,0,0,0,0,0,2.08,0,14.35,0,0,0,0,0,0,0,0
