stage,blastomeres,epidermis,eye,fast_muscle,glial,hatching_gland,liver,mesenchyme,mucous,neural,paraxial_mesoderm,somites
  5-6,29.98,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.74,0,0,0,18.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,13.16,13.69,0
 14-21,0,0.94,0,0,0,0,0,0,0,0,0,0.94
 24-34,0,0,1.94,0,0,0,0,0,0,7.78,0,0
 36-46,0,0,1.07,1.99,0,0,0,0.57,0,4.79,0,0
 48-58,0,0,0,0,2.02,0,0,0.87,0,1.82,0,0
 60-70,0,0,0,0,0,0,0.74,0.61,3.18,1.29,0,0
 72-82,0,0,0,0,0,0,0,0.49,0,0,0,0
108-118,0,0,0,0,1.05,0,0,0.75,0,0,0,0
