stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0.94,0,0.86,0,0,4.14,1.72,0,0,0,0
 24-34,0,0.86,0,0,0,0.65,0,0,0,7.39,0,1.88,0,0,0,3.34,0,1.82,20.47,0,0,0.6,0,7.54,0,0.98,0,0.88,4.99,0,0,10.49,0
 36-46,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,5.17,0,1.65,31.06,0.64,1.13,0,0,4.75,0,0,0,0,4.93,0,0,2.84,0.57
 48-58,0,0,0,0,0,9.4,6.79,0,0,1.95,0,0,0,0,0,4.43,1.02,0.93,58.89,0,0,0,0,3.63,0,0,0,0,8.5,0,0,0.46,1.81
 60-70,0,0,3.09,0,0,5.7,1.33,0,0,0.77,0,0,0.57,0,0,4.17,0,1.78,47.65,2.9,0,0,0,2.66,0,0,0,0,22.07,0,0,0,2.1
 72-82,0,0,0.96,0,0,15.94,0,0,4.81,4.15,0,0,0,0,0,9.12,0,0,25.14,0,0.93,0,0,6.27,0,0,0.53,0,7.18,0,0,3.72,0
 84-94,0,0,0.69,7.51,0,3.73,0,0,0,0.69,0.66,0,0,0.9,0,0.64,0,0,19.63,0,0,0,0,6.28,0,0,0,0,0,0,0.63,1.74,0
 96-106,0,0,1.41,0,0,6.54,0,0,3.66,0.57,1.74,0,0,0,0.77,1.22,0,0,24,0,0,0,0,6.87,0,0,0,0,2.5,2.08,0,0,0
108-118,0,0,4.4,0,0.45,7.75,0,0,0,4.59,0,0.69,0,0,0,0.6,0,0,44.68,0,1.35,1.3,0,2.1,0,0,0,0,0,0,0,0,0
120,4.41,0,8.57,0,0,0,0,2.07,0,0,8,0,0,0,0,4.07,0,2.44,72.95,0,0,0,0,17.18,0,0,0,0,6.72,0,0,7.56,0
