stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,86.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.93,431.85,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,61.84,0,0,0,26.55,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,41.9,44.9,0,157.68,0,0,90.23,0,0,0,0,0,28.36,0,0,0,0,0,0,0,0,0,0,1243.85,73.84,0,0,602.01,0,0,6.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,47.52,0,163.23,0,14.61,85.85,0,0,0,0,0,24.58,0,0,0,0,5.32,0,0,0,0,0,903.71,160.89,0,0,504.25,0,0,0,0,41.16,0,20.73,0,0,0,0,0,0
 14-21,0,0,1.09,6.72,175.15,19.96,24.66,0,0,0,22.36,11.56,2.21,0.92,2.08,0,0,21.47,0,49.9,0,0,42.33,239.85,43.07,0.98,9.72,22.53,0,0,0,72.45,6.68,8.93,105.67,140.82,0,0,1.02,0,0
 24-34,0,0,0,1.86,63.03,1.22,38.33,0,3.08,1.23,20.11,1.15,0,1.83,0,0,1.32,1.33,0,59.09,1.24,0,16.29,325.67,2.32,1.93,7.63,0,0,0,0,0,0.85,0,12.33,105.22,0,0,21.34,0,3.41
 36-46,0,0,0,0.56,8.83,0,53.57,0,0,0,17.55,0,0,2.29,0,0,0,0.67,0,55.37,0,1.75,10.97,206.07,0,0,5.37,0,0,2.4,0,0,0,0,0,129.57,0,1.37,11.63,0,9.36
 48-58,0,1.29,0,0,7.13,0,37.32,0.58,0.6,2.68,45.56,0,0,3.42,0,4.19,0.91,0,0,37.46,0,1.11,4.02,93.63,0,0,4.3,0,0,0,0,0,0,0,0,64.41,0,0.99,0.79,0,4.11
 60-70,0,0,0,0,3.37,0,39.66,0,0,0,69.76,0,0,0,0,0,1.12,0,0.95,31.12,0,2.41,3.37,30.94,0,0,3.89,0,0.71,0,0,0,0,0,0,20.69,0,0,2.99,0,0
 72-82,0,0,0,0,3.65,0.55,13.26,0,0,0,49.43,0,0,0,0,0,1.98,0,0,19.74,0,2.31,1.66,17.35,0,3.73,0,0,0,0,0,0,0,0,0,6.05,0.62,0.68,0.98,0.53,0
 84-94,0,0,0,0,3.95,0,23.42,0,0,0,25.83,0,0,0,0,0,0,0,0,21.93,0,2.16,0,19.88,0,0.97,1.29,0,0,0,0,0,0,0,0,8.62,0,4.28,0,0.82,0
 96-106,0,0,0,0,0.63,0,13.01,0,0,0,38.78,0,0,0,0,0,0.97,0,0,4.04,0,0.85,0,17.63,0,0,3.28,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0
108-118,0,0,0,0,1.28,0,6.7,0,0,0,31.95,0,0,0,0,0,0,0,0,7.46,0,0,0,14.73,0,0,9.08,0,0,0,0,0,0,0,0,2.58,0,0,0.71,0,0
120,0,0,0,0,1.09,3.03,12.92,0,0,0,49.86,0,0,0,0,0,0,0,0,9.31,0,0,0,18.16,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0
