stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,22.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0,5.91,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.35,21.39,0,0,8.6,0,0,0,0,0,0
 14-21,0,1.8,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64,0,0,0,0,3.11,0,0,0,0
 24-34,0,0,2.27,3.26,0,0,0,1.33,0,0,0.66,0,0,0,0,0,5.81,0.67,0,0,0,0,2.06,1.38,0.6,0,0
 36-46,0,0,3.15,4.79,0,0.61,0,1.71,0,0,0,0,2.76,0,0,0,27.28,2.49,0,0,0,0,6.04,0,0,0,0
 48-58,0,0,6.94,3.31,0.5,0.53,0,0,0,0.41,0,0,7.3,0,0.56,0.75,10.84,0,0,0,0,0,15.43,0,1.32,0,0
 60-70,0,0,3.21,1.11,0,7.76,0,0,0,0,2.19,0,5.3,0,0,0,7.99,0,0,1.23,0,0,8.96,0,6.64,0,0
 72-82,0,0,5.58,4.62,0.5,10.52,0,0,0,3.98,0,0,5.47,0,0,0,14.19,0,0,0.56,0,1.97,2.69,0,1.11,0,0
 84-94,0,0,4.82,0.84,3.21,3.71,0,0,1.27,8.67,0,0,20.77,0.93,0,0,23.38,0,0,0,0,0,26.11,1.52,0,1.24,0
 96-106,0,0,0.61,16.39,11.25,5.23,1.41,0,0,4.26,0,0,7.19,0,0,0,5.26,0,0.9,0,0,0,22.17,1.18,0,0,0
108-118,0,0,0.64,1.88,5.52,4.31,0,0,0,18.02,7.2,2,6.51,0,0.49,0,18.94,0,0,0,0,0,13.12,0,3.19,0,0
120,0,0,0,0,23.44,11.39,0,0,0,0,1.05,0,1.48,0,0,0,14.1,0,0,0,0,0,2.6,7.45,0,0,3.96
