stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,55.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,71.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.07,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.22,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0,5.14,0,0,0,0,0,0,0,0,0
 14-21,0,1.8,1.44,2.89,0,0.82,0.84,0,0,0,0,0,0,0,2.69,13.59,0,0,0.84,1.25,27.79,0.81,0,0,1.02,3.72,0,0,0
 24-34,0,2.84,0.69,3.18,0,0,0.63,0,0,0,0,4.12,0,0,3.56,27.77,1,0,0,0,97.65,0,0.76,0,0,7.9,0,1.46,0
 36-46,0,1.54,0,4.47,0,0.56,0,0,0.64,0,0,2.9,0,0,0,16.75,1.14,0,0,0,81.78,0,0,0.7,0,4.92,0,2.96,0
 48-58,0,1.14,0,6.3,0,0,1.25,0,0,0,0,5.32,0,0,0,49.28,0,0,0,0,54.13,0,0,0,0,6.63,0,0,0
 60-70,0,2.48,0,15.94,0.83,3.41,1.08,1.45,0,0,0,8.33,1.76,0,0,29.91,3.73,0,0,0,17.15,0,0,0,0,6.57,0,0,0
 72-82,0,2.46,0,7.35,0,0,0.69,1.15,0,0,0,6.69,0.66,0,0,31.92,0,0,0,0,8.57,0,1.29,0,0,0.73,0,0,0.53
 84-94,0,1.69,0,14.24,0,1.14,0.57,0,0,0.6,0,24.27,4.05,0,6.57,31.57,1.52,0,0,0,68.52,0,0,0,0,0,0,1.33,0
 96-106,0,5.54,2.48,3.89,0.93,2.09,0,1.55,0,0,0,12.14,4.78,0,0,10.12,0,0,0,0,31.28,0,0,0,0,0,0,0,0
108-118,0,1.08,0,13.76,0,0.52,0,1.11,0,2.19,0.47,4.09,0,1.05,0.99,20.23,0,0,0,0,26.63,0,0,0,0,6.64,6.28,8.11,0
120,0,5.98,0,4.37,0,0,9.24,0,0,0,0,0,0,0,0,41.9,2.45,2.88,0,0,13.25,0,0,0,0,0,0,0,0
