stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,ionocyte,mesenchyme,mucous,neural,notochord,periderm,spinal_cord
 14-21,0,0,0,0,0,0,0.83,0,0,2.4,0,10.05,0
 24-34,0,0,0,0,0,0,0,0,0,2.27,0,20.44,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.88,5.71,0
 48-58,0,0,0,0,0,0,0,0,0,0.72,0,7.45,1.1
 60-70,0,0,0,0,0,0,0,0,0,2.02,0,7.95,0
 72-82,4.86,0,0,5.01,0,1.45,0,0,0,4.65,0,1.85,0
 84-94,12.68,0,0,0,0,0,0,0,0,0,0,6.93,0
 96-106,6.24,0,0,0,0,0,0,2.12,0,4.98,0,12.52,0
108-118,5.08,0,2,0,1.69,0,0.48,1.4,0.57,1.49,0,18.74,0
120,1.38,1.78,0,14.93,2.6,0,0,4.22,0,0,0,43.07,0
