stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,12.63,619.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0
  5-6,56.27,784.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.14,0,0,0,0,7.49,0,0,0,0,0,0,0
  7-9,6.67,4.95,16.81,0,0,51.45,0,0,0,0,9.44,0,0,0,0,0,0,476.4,33.78,0,0,174.17,0,3.79,0,0,0,0,0,0
 10-12,0,14.62,20.33,0,0,20.2,0,0,0,0,0,0,0,0,0,0,0,358.69,0,0,0,102.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.78,0.83,0,0,0,3.98,0,0,0,0,0,1.32,0,4.82,49.73,0,0.98,0.89,0,0,0,6.76,0,0.81,13.45,1.03,0
 24-34,0,0,0,0,0,3.82,0,0,5.17,0,0,0.89,0,0,3.89,0,0.78,51.05,0,0,0,0,0,0,0,1.08,0,10.75,0.71,0
 36-46,0,0,0,10.17,0,24.85,0,0,4,0,0,0.93,0,0,3.25,0,0.65,75.73,0,0,0,0,0,0,0,0,0,8.61,0,0
 48-58,0,0,0,0,0,14.73,0,0,2.23,0,0,0,0,0,2.53,0,0.9,48.24,0,1.68,0,0,0,0,0,0,0,10.2,0,0
 60-70,0,0,0,0,0,24.57,0,0,0.56,0.64,0,0,0,0,6.28,0.95,0.7,54.52,0,2.18,0,0,0,0,0,0,0,7.59,0.66,0
 72-82,0,0,0,0,0,12.62,0.68,0,2.05,0,0,0,0,0,4.02,0.75,0,42.69,0,0,0,0,0,0,0,0,0,3.15,0,0
 84-94,0,0,0,0,0,8.46,0.58,1.18,0,0,0,0,1.78,0,13.6,0,0,22.22,0,0,0,0,0,0,0,0,0,7.48,0,0
 96-106,0,0,0,0,0,26.17,0,0,1.55,0,0,0,0,0.71,3.14,0,0,18.92,1.41,0,0,0,0,0,0,0,0,7.67,0,2.37
108-118,0,0,0,1.55,0,17.57,0,0.6,8.39,0,0,0,0,1.68,5.72,0.46,0,43.63,0,1.96,0,0,0,0,0,0,0,4.28,1.05,0
120,0,0,0,6.59,0,0,0,0,0,0,0,0,0,0,13.82,0,0,32.35,0,0,0,0,0,0,0,0,0,0,1.72,0
