stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
 10-12,4.57,0,15.98,0,5.18,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,4.51,0,0,49.2,0,0,0,0,0,0,0
 14-21,0,0,2.39,2.01,71.92,1.44,0,0,1.5,1.07,0,0,0,23.52,0,17.58,11.74,0,0,1.05,0,0,0.83,3.76,0.95,3.2,11.32,0,21.36,0,0
 24-34,0,5.31,0,2.77,5.28,4.96,0.97,13.05,0,4.42,0,0,0,82.11,0,32.36,85.49,0,12.8,0.61,0,0,0,0,2.76,1.31,30.04,0,101.21,0,0.69
 36-46,0,0,0,0,5.1,28.57,2.18,1.21,0,2.44,0,0,0,94.2,0,47.37,195.3,0,11.26,0.65,0,0,10.38,0,0,0,11.72,0,98.51,0,0
 48-58,0,0,0,0,0,22.68,3.27,3.96,0,0.86,0,0,0,74.03,0,21.43,244.98,0.51,1.88,0,0,0,0,0,0,0,19.2,0,32.37,0,3.05
 60-70,0,0.91,0,0.68,1.23,46.58,0,22.51,0,7.04,1.14,0,0,114.04,4.03,14.42,415.4,0,5.28,0,0,2.18,0,0,0,0,20.76,3.3,33.93,0.73,0
 72-82,0,2.91,0,2.54,9.27,86.74,0,14.94,0,1.41,0.54,0,0,91.7,5.02,13.89,376.81,0,2.15,0,0,0,0,0,0,0,9.72,3.81,43.72,0.93,0
 84-94,0,0,0,1.17,13.32,33.58,3.82,19.77,0,1.04,3.83,0,1.81,75.13,10.26,18.89,319.99,0,13.06,0,0,1.31,0,0,0,0,13.11,12.25,69.69,1.97,0
 96-106,0,0,0,0,11.45,54.26,1.65,8.78,0,0,3.54,0,0,90.25,7.32,4.24,157.86,0,0,0,0,7.39,0.61,0,0,0,3.47,8.09,39.48,1.89,0
108-118,0,0.71,0,1.13,8.16,42.72,1.48,7.71,0,0,1.47,0.73,0,66.72,4.24,13.76,166.96,0,3.76,0,0,8.13,0,0,0,0,7.76,3.58,43.64,2.33,3.13
120,0,0,0,4.24,32.46,6.7,0,2.25,0,4.46,2.89,0,0,65.73,19.72,24.38,331.92,0,0,0,0,1.79,0,0,0,0,0,10.29,33.61,3.81,0
