stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,222.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.59,0,0,0,0,0,0,0,0,0
  5-6,7.25,100.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.32,0,0,40.84,0,0,0,0,3.53,0,0,0,0,0,0,0,0,142.17,0,0,0,57.51,3.78,3.79,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,27.48,0,0,0,0,13.21,0,0,0,0,0,0,0,0,260.78,3.33,0,0,100.81,9.4,5.33,0,21.71,0,0,0,0,0,0
 14-21,0,0,1.44,1.1,1.74,5.51,0,0,0,0,0,0,0,0,0,0,3.77,0,0,50.62,0.82,0,0,0.88,2.74,0,6.22,1.9,5.37,18.15,0,1.21,0,0
 24-34,0,0,0,6.62,0.69,5.21,0,0,0,0,0,0,0,0,0.7,0,1.38,0,0.71,141.03,0,0,0,1.99,0.68,0,0,0,0,39.95,0,0,0,0
 36-46,0,0,0,0.66,0,7.45,0,0,0,0,0,0,0,0,0,0,1.97,0,0,121.18,0,0,0,0,1.46,0,0,0,0,58.89,0,0,0,0
 48-58,0,0,0,1.27,0,16.13,0,0,0,0.5,0,0,0,0.39,0,0,2.01,0,0,227.45,0,0,3.97,0,0,0,0,0,0,43.76,0,0,0,2.84
 60-70,0,0,0,6.69,0,114.65,0,0,0,6.3,0,0,0,6.1,0,0,23.77,0.98,0,352.76,0,0,8.78,0,2.91,0,0,0,0,64.79,0,0.81,0,1.77
 72-82,0,0,0,3.71,0,177.24,0,4.54,0,15.98,0,0,0,0.82,2.13,0,18.63,0.51,0,547.89,0,1.07,7.88,0,0,0,0,0,0,75.21,0,0,0,0
 84-94,0,0,0,2,0,157.04,1.25,0,4.48,5.78,0,0,0,2.9,0,0,10.95,0,1.27,396.18,0.65,0,21.39,0,0,0,0,0,0,32.62,2.12,0.63,2.23,0
 96-106,0,0,0,8.59,0,123.36,0.93,0,0,33.77,0,0,0.61,1.49,2.2,2.95,12.95,0,0,284.86,0,0,18.81,0,0,0,0,0,0,13.3,0,0,4.33,0
108-118,0,0,0,8.6,1.53,147.92,0,0,0,13.75,0,1.56,0,9.45,0,0,19.03,9.47,0,308.49,0,0.43,9.33,0,0,0,0,0,0,13.81,0,0,3.23,0
120,0,0,0,10.23,0,155.16,0,0,0,44.42,0,4.47,5.13,2.93,4.94,0,2.48,6.62,0,487.93,0,0,23.97,0,0,0,0,1.56,0,34.4,0,0,8.03,0
