stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.73,6.8,2.37,0.82,0,0,0,0,0,0,0,0,0,4.97,0,0,25.96,0,0,0,0,0,0,12.43,0,0,0,0,0
 24-34,0,3.31,0,4.46,0,1.11,0,2.82,0,0,0,0,0,2.52,0,0,85.04,0,0,0,0,0,0.64,18.49,0,0,0,0,0
 36-46,0,0.6,0,5.11,0,3.63,0,0,0,0,0,0,0,5.43,0,0,199.95,0,0,0,0,0,0,57.81,0,0,0,0,0
 48-58,0,1.88,0,14.09,0.89,0.46,0,5.36,0,0,0,0.47,0,18.71,0,0.82,338.79,0.59,5.01,0,4.08,0,0,30.86,0,0.84,2.65,0,0
 60-70,0,0,0,45.04,0,0,0,14.95,0,0,0,0,0,33.93,0.62,0,704.63,0,0,0,8.56,0,0,65.79,0,2.97,4.26,0,10.25
 72-82,1.26,4.99,1.52,77.22,0,0,1.27,12.92,1.37,0,0,1.15,0,58.4,0.93,4.15,857.74,0,3.17,0,0.95,0,0,49.02,0,3.73,1,2.97,1.3
 84-94,0,5.38,0,50.72,0,0,0,33.99,1.39,0.58,2.38,0,0,76.55,0,0,687.2,1.97,2.37,0,2.21,0,0,35.65,0,0.63,1.69,4.73,0
 96-106,0,4.62,10.44,66.8,0,0,0,15.4,3.14,0.71,0,0,1.54,72.42,0,0,597.64,1.74,1.7,10.7,0,0,0,27.52,0,0,13.56,4.26,2.85
108-118,0,0.47,0,81.46,0,0,0.73,45.4,1.89,1.1,0,0,0,90.37,0,0.91,622.88,1.25,0.56,19.5,0.68,0.5,0,19.11,0.68,0,0,5.03,0
120,0,4.85,0,76.31,0,0,1.29,74.91,3.22,0,0,0,0,89,0,0,1043.77,16.14,0,2.03,12.35,0,0,43.33,0,6.76,3.7,0,0
