stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,282.46,4753.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780.53,0,0,0,0,0,0,0,0,0,0
  5-6,249,3786.31,0,0,0,0,0,0,0,0,0,0,0,24.03,0,0,0,0,0,0,0,0,0,0,0,120.9,0,0,0,49.11,1401.14,0,0,0,0,0,0,0,0,0,0
  7-9,153.57,6.61,0,22.08,0,0,0,22.89,0,0,0,0,0,12.44,0,0,0,0,0,0,0,0,0,0,0,317.58,23.78,0,0,55.71,48.39,18.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,109.58,0,12.48,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.57,86.57,0,0,16.1,11.38,13.83,0,40.58,0,0,0,0,0,0,0
 14-21,0,0,0,113.84,1039.98,527.51,0,24.51,0,14.61,0,12.52,335.51,0,1.8,0.92,24.87,0,0,41.14,0,287.62,6.64,0,142.31,149.4,712.04,0,3.46,39.13,142.9,0,28.77,129.84,60.56,405.32,0,0,213.31,0,0
 24-34,0,0,0,43.95,247.56,64.08,0,43.9,0,59.22,14.84,14.29,16.97,0,12.01,0.76,69.4,0,3.23,54.19,2.32,107.78,14.06,0,90.66,275.57,66.46,0,10.11,0,289.42,0,0,45.22,38.9,166.57,0,0,832.68,0,0
 36-46,0,0,0,2.19,40.87,2.93,0,37.55,0,31.45,39.11,15.14,14.91,0,11.65,1.5,48.16,4.97,0,35.63,0,120.12,2.32,0.77,46.16,139.55,28.84,3.78,4.86,0,324.41,1.1,0,30.59,0,78.76,0,0,302.45,0,0
 48-58,0,0,0,0.45,65.28,2.43,0,87.86,0,60.55,39.41,23.7,4.67,0,7.97,0,10.91,0.39,0.96,3.67,0,194.96,1.78,4.69,36.2,156.6,19.92,2.31,0.86,0,225.49,0,0,20.49,0,64.68,0,0,322.36,0.78,0
 60-70,0,0,0,0,84.02,3.52,0,59.2,0,31.93,69.25,10.4,22.61,0,3.2,0,10.56,0,1.16,10.83,0,239.77,3.96,1.72,9.56,71.82,10.61,3.15,12.05,0,437.14,0,0,18.14,0,54.86,4.57,1.64,236.43,1.98,4.59
 72-82,0,0,0.5,1.72,101.77,10.78,0,85.93,0,18.62,73.02,15.96,61.98,0,1.55,12.74,22.12,2.65,4.01,29.85,0,352.93,5.14,3.51,20.96,106.01,6.07,0.56,6.33,0,588.13,0,0,10.64,0,70.97,7.62,1.08,409.3,8.48,7.57
 84-94,0.62,0,0,2.3,189.55,0,0.57,140.07,0,79.97,74.82,9.68,81.79,0,1.14,8.59,46.28,0.61,0.66,122.48,0,288.18,8.11,9.89,15.42,81.72,9.96,6.59,9.72,0,1353.68,0,0,32.02,0,40.1,16.84,2.33,362.32,10.02,3.39
 96-106,0,0,1.71,0.93,377.82,31.45,0,152.7,0.81,109.78,73.62,35.06,137.72,0,1.16,24.57,68.19,0,2.44,102.62,0,303.85,19.48,5.88,8.67,180.19,8.51,11.21,6.43,0,1880.99,0,0,18.8,0,120.42,72.39,0.87,476.66,4.49,29.75
108-118,1,0,0,0.77,468.48,2.05,3.43,144.98,0,186.57,56.5,21.25,161.46,0,0.83,27.84,88.76,7.2,0,187.51,0,323.24,31.31,8.68,20.88,174.64,21.83,11.45,17.8,0,1592.76,0,0,28.36,0,51.38,55.65,1,414.03,6.23,9.48
120,0,0,0,0,376.99,11.18,1.71,125.48,0,117.24,48.44,12.06,105.7,0,0,42.95,32.88,0,4.41,122.8,0,218.3,31.07,0,7.16,202.41,13.97,22.37,10,0,827.51,0,0,20.19,0,28.49,38.26,0,317.53,33.07,0
