stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.25,20.48,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.89,0,0,0,10.03,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0,6.59,0,0,0,0,0,0,0,0
 14-21,0,0,3.86,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,3.59,0,0,21.24,0,0,0,0,0,0,27.67,1.72,5.18,0,0,1.8,0,0
 24-34,0,0,0,8.07,0.95,12.57,0,0,0.89,5.51,0,0,0.76,0,0,0,0,175.66,0,14.03,85.46,0,0,1.71,0,0,1.08,118.43,0,8.93,0,0,18.11,0,2.64
 36-46,0,0,0,1.33,2.92,61.14,0,0.8,33.54,13.99,0,0,3.77,0,1.81,0,0,628.6,0.77,33.76,127.62,2.93,0,0.58,0,0,0,95.26,0,24.29,0,0,6.84,0,0
 48-58,0,0,0,2.73,2.2,156.67,0,0,61.09,26.14,2.29,0,1.66,0,0,0,0,719.29,1.3,20.68,114.25,13.39,1.04,9.5,0,0,0,52.11,0,15.56,0,0,2.38,0,0
 60-70,0,0,0,0,0,114.19,0.95,12.96,64.87,77.65,5.14,0,1.36,0,5.67,0.87,4.76,746.43,4.98,13.56,120.13,25.05,0,8.17,0,0,0,29.79,0,12.12,0,1.19,0,0,0
 72-82,0,0,0,3.56,2.32,68.34,0,0,66.25,136.69,11.82,0,1.7,1.6,0.75,13.95,0,675.23,17.43,10.51,82.57,0,0,16.11,0,6.59,3.66,68.79,0,1.78,0.74,0,4.13,0.56,0
 84-94,0,0,1.01,2.33,0,78.98,1.17,2.61,27.05,152.93,32.39,0,0,0,9.95,2.36,0,464.77,21.71,5.3,74.69,8.93,0,25.94,0,0,2.48,134.16,0,2.82,0,0.59,0,5.71,0
 96-106,0,0,0,0,4.73,36.68,0,0,32.29,152.72,20.2,0,3.17,0.67,1.4,4.39,0,385.1,8.04,2.03,69.84,0.99,0.92,37.84,0,4.36,5.99,104.43,0,12.74,0,0,2.48,0.91,0
108-118,0,0,1.14,4.55,0,40.01,0.58,1.03,28.91,197.31,26.98,0,0,0,8.83,5.99,0.59,190.57,2.75,7.7,15.28,0.42,0,37.34,0,0,5.73,103.15,0,5,0,1.98,0.62,3.84,1.71
120,1.19,0,0,1.12,0,68.81,0,4.99,35.64,209.14,28.73,5.2,0,0,0,14.94,0,158.48,1.26,14.58,28.1,0,0,13.55,0,9,3.86,86.32,0,9.83,0,0,4.28,0,0
