stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,56.03,821.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.55,0,0,0,0,0,0,0,0,0,0
  5-6,45.26,1086.13,8.02,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,6.74,36.38,0,0,9.43,30.96,0,0,0,0,0,0,0,0,0,0
  7-9,77.82,68.41,24.12,0,0,128.17,0,0,0,0,0,55.68,0,0,0,0,0,0,0,0,0,0,0,1291.73,85.31,0,0,477.06,15.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.6,75.22,0,6.22,143.27,0,0,0,0,0,39.38,0,0,0,0,0,0,0,0,0,0,0,1134.41,105.89,0,0,397.71,17.83,0,40.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.04,2.51,0.84,0,0,0,0,0,0.86,0,0,2,0,0,0,0,1.12,0,0,0,23.76,0,0,0,0,0,1.34,0.81,2.93,4.31,10.91,0,0,1.01,0,0
 24-34,0,0,0,5.66,0,14.68,0,1.95,0,0,0,0,0,0,4.22,0,1.8,0,2.86,7.07,0,0,2.9,205.65,0.7,2.14,0,0,3.47,0,1.79,0,1.86,70.52,0,0,1.61,0,0.81
 36-46,0,0,0,1.08,0,16.05,0,0,3.64,4.43,0,0,0,2.06,0.78,9.14,0,0,19.75,3.23,0,0,4.02,283.95,3.79,1.59,1.46,0,2.73,0,0,0,0,53.47,0,0,2.04,0,3.22
 48-58,0,0,0,3.1,0,73.47,7.61,0,0,20.65,0,0,0,0,0.98,0,0.45,0,15.45,17.5,0,0.43,0,330.25,0.91,0.85,0,0,3.43,0,13.26,0,0,40.27,0,0,2.73,0,4.79
 60-70,0,0,0,1.4,0.62,106.63,0,0.63,2.12,10.8,0,0,0.76,6.36,1.1,2.41,0,0,5.72,45.13,0,0,0.75,503.08,0,3,1.42,0,0,0,0.83,0,0,50.03,0,0,3.64,0,0
 72-82,0,0,0,1.36,0.54,114.37,0,0,0,14.26,0.63,0,0,0,0,3.23,0.91,1.65,0,13.08,0.75,1.22,0,270.85,0,0,1.04,0,1.95,0,0,0,0,20.26,1.42,0,10.46,0,0
 84-94,0,0,0,2.03,0,69.59,0,0,1.66,4.83,0,0,0,1.34,3.27,0,0,1.27,1.81,16.93,0,0,0,142.18,0,0.71,2.21,0,2.6,0,0,0,0,5.41,0,1.22,4.35,1.66,0
 96-106,0,0,0,0,0,30.71,0,0,0,4.61,1.16,0,0.61,0,2.34,0,0,0,1.26,3.46,0,0,0,56.49,0,1.08,0.66,0,0,0,0,0,0,3.31,0,0,1.61,0,0
108-118,0,0,0,0,0,21.11,0,0,0.5,17.62,0.79,0,0,0.7,2.99,1.88,0,0.48,3.15,5.76,0.91,0.69,0,93.11,0,0,4.47,0,0,0,0.76,0,0,0,0,0,3.33,0,0.6
120,0,0,0,3.8,1.18,89.34,0,0,0,41.89,0,0,0,5.27,0,0,0,0,1.6,3.37,0,0,1.03,306.49,0,0,0,0,1.36,0,0,0,0,9.04,0,0,6.77,0,0
