stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.36,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.94,0,0,7.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.03,0,0,0,0,0,8.7,0,0,0,0,0,0
 14-21,0,0,0,0,0,4.46,0,0,0,0,0,0,15.55,0,0,0.96,0,2.16,9.95,0,0.81,24.31,45.38,0,0,0,0,0,0,6.14,0,0,0,0
 24-34,0,0,1.48,0.68,0,20,0,0.67,0,0,0,0,22.66,2.06,0.62,1.31,0,15.26,50.39,2.1,31.2,70.21,64.19,3.19,0,0,0.89,0.93,0,16.16,0,12.41,0,4.7
 36-46,0,0,0,0,0,13.85,0,0.62,0,0,0,0,2.72,0,0,1.69,2.27,38.04,56.17,1.06,11.04,71.55,33.06,0,0,0,0,0,1.38,8.55,0,3.85,0,8.61
 48-58,0,0,0,1.65,0,15.24,0,1.25,4.51,3.68,0,3.38,4.57,6.14,0,0,0,17.15,49.73,5.42,11.05,85.71,16.33,0.6,0,0,9.68,0,0,8.54,0,2.79,0,20.19
 60-70,0,0,0,0,0,16.83,0,0,0,1.13,0,0,0,1.4,0,4.51,0,0,44.79,4.01,5.1,57.47,1.33,0,0,0,7.34,0,0,5.83,5.43,0,1.46,2.42
 72-82,0,0,3.04,1.31,0,23.42,0,0,1.05,61.99,0,0,7.15,8.63,0,1.3,0,10.14,118.16,4.6,6.05,55.64,1,0,0,0,2.25,2.8,0,0.63,2.41,5.11,2.46,17.63
 84-94,0,0,4.25,0,0,7.24,0,1.21,7.16,29.66,0,0,3.87,4.34,0,2.32,0,1.01,72.44,2.77,7.66,38.9,0.76,2.25,0,0,2.26,0,0,3.78,2.85,11.33,1.02,1.85
 96-106,0,0.83,0,7.68,0,31.88,1.05,0,0.92,69.56,0,0,0.7,6.31,0,4.12,0,2.14,84.52,9.65,12.34,43.18,0,0.65,0,6.96,1.45,0,0,5.64,7.45,4.36,8.87,0
108-118,0,0,1.25,0,2.01,20.41,0.49,0,0,65.15,0.81,0,0.59,15.83,0,3.91,1.85,11.79,90.61,7.84,2.14,28.03,0,0,0,3.62,0,0,0,2.87,2.3,2.31,4.87,5.34
120,0,0,0,0,0,4.55,0,0,0,75.25,1.67,0,1.85,24.27,0,0,0,0,120.63,0,3.08,103.96,1.08,4.59,0,0,0,0,0,0,4.37,23.07,14.84,0
