stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,161.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,65.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.83,11.11,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,21.57,0,0,0,17.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,49.3,8.95,0,0,12.27,0,0,0,0,0,4.35,0,0,0,0,0
 14-21,0,0,0,4.5,3.47,1.13,0,1.68,0,0,0,0,0,0,0,0,0,0,2.7,10,0,1.21,18.68,0,0,0,0.94,0,0,8.98,0,0.81,9,3.6,0,0,0,0
 24-34,0,0,0,2.96,0,4.34,0,9.63,0,0,0,0,0,0,0,0,0,0,0,10.86,0,0.72,194.07,0,4.86,0.99,0,0,4.84,0,0.63,1.31,1.61,25.05,0,0,0,0
 36-46,0,0,0,2.38,0,10.28,0,4.08,0.61,3.76,0,0,0.92,0,0,0,0,0,0,20.85,0.87,0,685.49,0,5.83,0.58,0,0,4.36,0,6.61,5.24,0.83,75.71,0,0,0,0
 48-58,0,0,0,4.31,0,59.26,1.6,5.93,1.57,1.9,0,0,0,3.41,0,0,0,0,0,28.49,0,0.4,1632.3,5.29,7.3,0.64,0,0,7.22,0,0,1.43,0,152.05,0,1.82,0,0
 60-70,0,0,1.14,9.55,2.92,245.42,0,4.47,2.54,11.61,0.75,0,0,0.57,0,0,0,0,0,50.17,0,0,2754.92,6.77,16.42,0,0,0,7.44,0,0,0,0,287.47,0,3.68,0,0
 72-82,0,0,0,10.93,2.7,615.22,0,0.51,2.52,21.14,0,0,0.66,0.59,0.56,0.57,0,0,0,46.72,6.29,2.57,3337.75,0,3.31,4,0,2.36,3.57,0,0,0,0,252.49,3.08,0,0.51,0
 84-94,0,0,2.22,8.89,0.66,407.17,0,0,0.94,27.6,0,0,0,0,0,0,0,0,0,41.47,4.74,4.39,1917.03,0,2.25,3.01,0,0,4.55,0,0,0,0,106.67,0,0.66,0.63,0
 96-106,0,0,1.91,8.88,0,526.22,0,0,0,30.53,1.72,0,1,0.78,0,0.77,0,0,0,37.96,0,3.51,1547.5,0,5.96,9.65,0,0,4.96,0,0,0,0,55.84,7.1,0,0,3.46
108-118,0,0,0,7.3,1.18,380.88,0,1.36,0.48,24.09,0,0,0,0.52,0,1.03,4.31,0,0,44.34,0,0,1659.42,0.69,9.65,1.78,0,0,6.43,0,0,0,0,76.8,1.13,0,0,0
120,0,0,0,15.96,0,413.96,0,0,0,40.64,0,0,0,0,0,0,0,1.58,0,36.38,0,2.23,2675.22,0,3.86,6.59,0,0,3.68,0,0,0,0,76.46,0,2.49,0,0
