stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.83,0,0,0,20.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,10.35,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,64.49,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,501.71,0,0,0,34.02,0,0,0,0,0,0,0,0,0
 14-21,0,0,41.61,0,14.06,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,444.2,1.39,0,0,0.99,0,0,0,1.21,57.59,0,0,0,0
 24-34,0,0.75,5.91,0,7.92,0.62,0,0,0,0,0,0,0,1.69,0,0.82,0,0,0,510.61,6.34,9.09,1.55,0,0,0.72,0,0,67.18,0,0.6,0,0
 36-46,0,0,2.03,0,20.96,0,0,14.56,0,0,0,0,0,3.22,0,5.8,0,0,3.71,596.5,0.6,5.14,0.8,0,0,1.71,0.72,0,86.54,0,0,0,0
 48-58,0,0,2.41,0,77.32,2,1.7,28.86,0,0,0,0,6.97,0.41,0,25.11,0,0,3.81,813.11,1.96,1.03,1.42,0,0.53,3.21,0,0,86.14,0,0,0,1.08
 60-70,0,0,0,4.76,299.68,0,8.82,39.01,0,0,0,0,0,0.65,0,24.39,0,0,7.38,818.12,4.13,5.37,0,0,0,0,0,0,96.26,0,0,1.25,7.21
 72-82,0,0.79,4.77,0,354.41,0,3.51,46.23,0,0,0,0.55,0,0.61,0,57.76,0,0,4.28,740.26,2.3,2.19,3.33,0,0,0,0,0,37.42,0.82,0,0,1.18
 84-94,0,0.66,6.35,0,322.97,0,2.23,28.15,0.93,0,0,0,0,0,0,41.62,0,0.92,4.46,645.36,0,10.58,2.85,0,0,0,0,0,59.97,0,0,1.06,0
 96-106,0,0.63,1.6,0,217.85,0,3.26,40.82,1.83,0,0.75,0,0,2.07,1.81,39.74,2.18,0,3.2,482.89,2.22,19.48,1.36,0,0,0,0,0,16,1.64,0.75,0,0
108-118,0,1.45,3.08,0,230.69,0,3.81,36.25,0,0,0,0.65,2.21,0.52,0,76.56,0.45,0,7.87,572.53,0,14.28,0.52,0,0,1.92,0,0,20.04,0.42,0,0,9.12
120,0,0,7.14,0,244.34,0,0,66.39,0,0,0,8.14,0,7.87,0,71.59,0,0,0,851.43,0,15.19,4.8,0,0,25.44,0,0,14.59,9.29,0,0,0
