stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,14.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,71.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0
  7-9,15.78,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,54.28,4.97,0,0,23.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.2,0,0,10.03,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,70.45,0,0,0,28.56,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.95,2.09,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.26,1.06,0,0,1.46,1.15,0.89,0,1.64,9.37,0,0,2.04,0,0
 24-34,0,0,0,0,3.39,0.62,3.67,0,0,0,0,0,2.67,0,0,0,0,0,7.26,0,0,2.01,30.02,0,1.36,0,0,7.1,0,0,0,13.69,0,0,0,0,0
 36-46,0,0,0,0,1.26,0,9.01,0,0,1.19,0,0,0,0.62,0,1.09,0,0,5.4,6.77,0,1.51,31.39,0.66,0.92,0,0,0.63,0,1.31,0,4.42,0,0,0,0,3.89
 48-58,0,0,0,0,0.79,0,23.53,0,2.43,0.57,0,0,0,0,0,0,0,0,2.65,0,0.55,0.72,36.97,0,0,1.09,0,0,0,0,0,3.17,0,0,1.87,0,0
 60-70,0,0,0,0,0.6,0,44.8,0,0.76,0.67,0,0,1.42,0,0,0,0,0,0.85,0,0,2.81,18.73,0,3.45,0.81,0,0,0,0,0,3.31,0,0,0,0,0
 72-82,0,0,0,0,1.11,0,93.25,0,0.55,22.93,0.64,0,0.6,0,0,0,0,0,18.91,0,1.11,5.61,24.61,0,0.53,0.52,0,0.72,0,0,0,0,0.87,0,2.85,0,0
 84-94,0,0,0,0,3.06,0,116.18,0,0,8.56,0.93,0,1,0,0.75,0,0,7.23,15.37,0,0,0,44.3,0,0,0,0,1.53,0,0,0,8.79,0,2.89,11.73,0,0
 96-106,0,0,0,0,6.95,12.21,165.97,0.62,0,8.27,0,0,3.95,0,0,0,1.52,0,10.12,1.15,0,0,23.48,0,2.43,7.22,0,0,0,0,0,0,0,0,2.28,0,0.58
108-118,0,0,0.76,0.74,4.08,0,104.23,0.5,0,6.6,1.07,0,2.83,0,1.2,0,5.48,0,18.31,0,4.58,0,12.29,0,0,6.61,0,1.71,0,0,0,1.14,0,0,1.62,2.12,0
120,0,0,0,0,3.73,0,396.83,0,4.1,3.3,0,0,1.87,0,2.23,0,0,0,7.38,0,0,0,70.93,0,0,0,0,4.85,0,1.02,0,0,0,0,3.24,0,0
