stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.68,95.27,14.08,0,57.41,0,0,0,11.33,4.11,7.01,0,0,0,0,0.93,0,0,62.65,0,0,45,608.41,16.02,0,3.2,22.56,0,15.28,0,80.08,6.43,3.23,76.42,208.31,0,0,0.82,0,0
 24-34,2.51,5.89,51.31,2.79,0,113.08,0,1.53,3.1,30.58,2.26,2.87,0.67,2.51,1.44,1.5,2.26,12.13,4.75,110.26,1.24,0,64.9,1226.32,6.44,15.42,18.65,0,0,41.08,0,1.79,3.93,2.61,38.53,268.17,0,0,21.53,0,3.36
 36-46,0.85,0.6,22.02,1.52,0,256.58,0,0.56,9.78,81.7,1.55,0,3.8,3.06,12.26,0,2.65,2.02,6.61,149.61,3.31,2.21,30.34,1289.2,17.33,12.28,13.53,0,5.7,95.72,0.81,2.28,0.94,0,0,351.8,0,0,20.81,0,3.97
 48-58,0,0,12.3,1.19,0,351.4,0.58,4.52,15.23,114.98,1.53,0.7,3.83,1.99,0.44,3.79,5.3,2.18,4.77,160.05,0.95,4.57,33.32,799.99,0,8.05,8.86,0,0,19.27,0,0,0,4.61,0,238.18,0,2.18,11.84,0,17.15
 60-70,0.62,0,16.23,9.11,0,597.6,0.65,21.11,13.46,114.4,12.35,0,2.74,14.79,1.17,6.13,3.88,0,14.13,208.98,1.1,7.61,29.31,781.03,0.7,10.53,8.19,0,0,16.16,0,0,3.45,3.95,0,115.62,0,3.59,27.76,0,36.21
 72-82,2.41,0,70.21,24.29,2.97,418.83,0.52,2.85,18.5,90.81,4.58,0,3.58,15.26,1.04,1.64,3.1,1.08,3,217.6,3.11,6.54,20.75,576.87,0.56,13.55,8.35,0,0,10.56,3.31,0,11.79,0,0,62.85,1.12,6.03,37.31,0.99,9.68
 84-94,11.34,0,74.55,5.6,1.17,211.52,0.65,1.37,9.9,55.15,10.14,0.6,1.7,19.68,4.31,5.92,6.73,6.43,0,129.56,1.32,11.78,17.21,294.73,2.5,3.44,7.8,0,0,29.32,0,0,3.1,0,0,37.38,8.15,1.31,31.24,4.48,6.6
 96-106,4.05,0,42.42,11.18,0,244.22,0.58,6.12,3.95,73.33,4.65,0,2.35,21.38,4.46,1.41,5.94,13.85,0,134.37,4.44,5.58,10.69,247.22,1.47,10.87,4.25,0,1.16,35.85,14.11,0,1.52,0,0,16.35,1.87,1.03,27.14,7.86,0
108-118,2.58,1.17,37.59,11.29,1.5,179.32,0,5.8,3.18,93.65,14.68,0,3.84,16.26,4.73,6.62,4.06,5.95,4.99,152.13,3.32,10.84,14.4,373.64,2.18,9.31,8.83,0,0,33.01,0,0,7.78,0,0,20.08,6.85,3.31,19.88,6.89,3.43
120,0,0,72.91,14.25,0,199.64,0,3,0,76.11,3.64,0,4.06,46.34,5.14,14.13,12.18,0,0,102.78,0,17.11,25.09,569.76,10.51,14.05,18.7,0,7.89,7.53,0,0,0,0,0,56.8,8.71,0,25.98,12.28,0
