stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,151.17,3283.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.19,0,0,0,0,0,0,0
  5-6,82.37,1065.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0,0,15.72,17.48,0,0,0,0,0,0,0
  7-9,11.26,0,0,20.14,0,0,21.75,0,0,0,0,0,0,0,0,0,88.88,14.44,0,0,30.47,0,0,0,0,0,0,0,0
 10-12,0,4.57,0,28.86,0,0,16.22,0,0,0,0,0,0,0,0,0,109.85,0,0,0,22.5,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,3.62,2.08,26.94,0,0.87,0,0,0,2.17,3.13,12.48,0,0,0,0
 24-34,0,0,0,0.76,0.89,0,1.05,0,0,0,0,0,0,0,1.92,0,130.43,0,3.12,0,0,1.27,0,0,32.15,0,0,0,0
 36-46,0,0,0,0,0,0,0.88,0,0,0,4.43,0,0,0,3.2,0,365.59,0,0,0,0,0,0,0,51.99,0,0.69,0,0
 48-58,0,0,0,0,4.42,0,20.17,0,0,0,4.61,0,0,0,1.1,0,477.85,0,0,0,0,0.56,0,0,90.29,0,1.02,0,5.73
 60-70,0,0,0,0,0.68,0,13.41,0,4.33,0,5.09,0,2.24,0,11.38,0,803.89,2.9,0,0,0,0,0,0,47.16,0.81,0,0,0
 72-82,0,0,0,0,0,1.12,68.47,0,0,0,8.77,0.85,0,0,9.65,0.96,824.42,0,0,3.09,0,1.74,0,0,34.98,0,0,1.55,0
 84-94,0,0,1.65,0,1.87,0,51.27,1.34,3.53,0,7.93,0,0,0,2.71,0,773.12,0,0,0,0,3.09,0,0,39.66,0,9.64,0,0
 96-106,0,0,0,0,4.06,0,24.84,0,0,6.2,1.3,0.69,0,0.75,2.7,2.41,546.41,0,0,0.79,0,3.19,0,0,17.7,0,0,1.94,8.09
108-118,0,0,0,0,6.38,0,41.17,0,0,0,12.43,0.91,0.43,0,2.89,3,742.98,0.54,1.47,0,0,1.19,0,0,10.07,0.68,1.41,0,0
120,0,0,0,0,5.79,0,97.08,0,0,0,0,0,0,0,8.35,0,998.54,0,0,4.64,0,0,0,0,8.06,0,0,0,0
