stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,lateral.line,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,65.86,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0
  5-6,23.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.61,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.32,0,0,0,0
 14-21,0,0,0,0.99,0,0,0,0,0.92,7.2,0,0,0,2.88,0,0
 24-34,0,0,0,0,0,0,0,2.97,2.6,16.67,0,0,0,10.3,0,0
 36-46,0,0,0,0,1.48,0,0,5.15,0,61.39,1.37,0,0,23.08,0,0
 48-58,0,0.46,0,0,5.34,5.83,0,8.07,0,168.1,0,0,0,12.52,1.49,0
 60-70,0,0,4.97,0,23.67,0.85,0,6.06,0.68,326.71,0,0,0,7.73,0,0
 72-82,0,0,0,0.67,32.88,4.62,0,1.22,0,263.25,0,0,0,19.33,0,0
 84-94,0,0,0,0,27.74,8.42,0,0.72,0,148.1,0,0,0.56,23.66,0,0
 96-106,0,1.06,0,0,12,3.77,0.62,2.47,0,160.58,0,0,0.66,16.24,3.41,0.61
108-118,0,0,0.93,0,17.91,11.75,0,0,0,187.46,0,0,0,2.67,0,0
120,0,0,0,0,16.46,0,0,2.88,0,345.47,0,0,0,8.24,0,0
