stage,axial,blastomeres,endoderm,eye,hatching.gland,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites
  3-4,0,49.09,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,297.38,0,0,0,0,29.98,0,26.38,0,0,0
  7-9,18.62,24.7,18.82,21.32,10.62,0,689.85,12.73,367.12,8.05,0,0
 10-12,0,43.6,4.24,14.18,3.88,0,833.82,15.7,354.18,21.48,31.15,7.77
 96-106,0,0,0,0,0,1.1,0,0,0,0,0,0
