stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,iridophores,mesenchyme,neural,paraxial.mesoderm,pronephros,vasculature,visceral.smooth.muscle
  3-4,47.77,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.61,0,0,0,0,11.81,12.39,0,0,0
 14-21,0,0,9.65,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.64,1.33,0,0,0,0,0,0,0,0,2.13,0
 36-46,0,0,0,0,0,0,0,0,0.83,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.51,0.96,0,0,0,0
 60-70,0,0,0,0,0,6.61,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.16,0,0,0,0,0,1.77,0
 84-94,0,0,0,0.56,5.81,2.55,0,0,0,0,0.73,0,0
 96-106,0,0,0,0,2.27,11.62,0,1.14,0,0,0,0,0.61
108-118,0,0,0,0,0,0.96,0,1.1,0,0,0,1.17,0
120,0,0,0,0,0,1,1.17,0,0,0,0,0,0
