stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,151.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.54,105.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,48.56,0,0,0,32.77,0,0,0,0,0,0,0,0,0
 10-12,0,16,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,72.07,0,0,0,30.68,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.08,2.45,0,0,0,0,0,0,0,0,0,0.88,0,0,2.45,22.81,0,0,0,1.8,0,0.88,0,2.83,3.91,0,0,0,0
 24-34,0,0,0,3.57,0,1.49,0,0,0,1.55,0,0,0,0,0.92,1.44,0,0,1.57,37.12,0.6,1.06,0,0,1.87,0,0,0.64,6.69,0,1.77,0,0
 36-46,0,0,0,0.71,0,5.48,0,0,0.6,1.49,0,0,0,0,0,2.74,0,0,0.91,62.65,0,1.37,0,0,4.13,0,0,0,18.8,0,0,0,0
 48-58,0,0,0.54,0,0,15.58,0,0,0,1.18,0,0,0,0.45,0,5.27,0,0.84,1.25,91.45,0,0,1.41,0,1.13,0,0,0,20.75,0,0,0,0
 60-70,0,0,0,0,0,32.96,0,0.69,0,12.31,0,0,0,0,0,2.02,0,0.63,0.6,149.57,0,0,0,0,1.2,0,0,0,20.68,0.57,1.72,0,0
 72-82,0,0,0.5,0,0,41.81,0,0,1.7,4.38,0,0.56,0,1.31,0,8.31,1.79,1.07,1.85,94.39,0,0,0,0,0,0,0,0,8.08,0,0,0,3.06
 84-94,0,0,0,0.6,0.71,14.5,0,0,1.74,4.43,0,0,0,0,0,7.03,0,0,2.01,40.74,0,0,3.58,0,4.91,0,0,0,4.73,0,0,0,0
 96-106,0,0,0,1.02,5.45,20.84,0,0,0,4.74,0,0,0,0,0,15.78,0,0,0,56.27,0,0,0,0,7.56,0,0,0,5.14,0,0,1.16,0
108-118,0,0,0,0.48,3.88,7.23,0.84,0.95,0.79,7.43,0,0,0.89,0,0,9.05,0,0,3.9,34.68,0,1.39,0,0,1.3,0,0,0,0,0,0.79,0,0
120,0,0,0,12.24,0,42.68,0,0,0,0,0,0,0,0,1.33,29.1,1.59,2.08,0,76.72,0,0,0,0,1.44,0,1.38,0,0,0,0,0,0
