stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,32.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,15.03,0,4.09,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.23,0,0,0,0.94,0,0,0,0,0.89,0,0,0
 24-34,0,0,0,0,0,0,0.69,0.86,0,3.22,0,0,0,1,0,2.65,0,0
 36-46,0,0,0,1.01,0,0,0,1.45,0,9.64,0,0,0,0,0,2.54,0,0
 48-58,0,0,0,0.97,0.7,0.68,0,1.02,0,9.18,0.37,0,0,0,0,0.53,0,0
 60-70,0,0.57,0,3.36,0,0,0,1.4,0.93,9.86,0,0,0,0,0,0,0,0
 72-82,0,0.71,0,1.03,0,0,0,17.9,0.66,6.79,0,0,0,0,0,0,0.94,0
 84-94,0,0,0,0,0,0,0,11.07,2.4,11.63,0,0,0,0,0,0,2.57,0
 96-106,0,1.88,0,0,0,0,0,18.58,2.25,0,0,0,1.05,0,0,0,2.02,0
108-118,0,0,0,7.42,0,3.44,0,32.17,0,5.93,0,0,0.46,0,0,0,9.63,0
120,0,0,4.56,0,0,0,0,32.44,4.37,26.33,1.48,0,1.95,0,0,0,37.4,3.54
