stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,126.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,104.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.12,7.01,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,14.47,0,0,0,0,6.04,0,0,0,0,0,0,0,0,0,0,167.35,23.55,0,0,10.08,0,4.37,0,8.08,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,4.15,0.94,0,1.79,0.88,0,75.69,0,0,0,0,0,0,0,0,0,7.25,0,1.23,48.59,0,3.09,0,2.93,0,0,2.81,15.19,0,4.08,234.7,0,0.97,0,0
 24-34,0,0,1.05,0,0,0,0,4.48,0,0,123.28,0,0,0,0,0,0,0.72,0,2.79,6.98,0,0.59,105.83,0,8.36,2.27,0,0.87,0,0,24.64,0,2.71,215.82,0,1.78,0,0
 36-46,0,0,0,0,7.48,0,0,6.28,0,4.14,88.09,0,0,0,0,0,1.36,0,0,0,8.26,0.88,3.13,148.51,0,4.18,1.33,0,0.95,0,0,12.88,0,0,154.79,0,0.66,0,0
 48-58,0,0,0.54,0,0,0,0,20.28,0,0,90.29,0,0,0,0,0,0,0,0,0.48,6.59,0,0.86,70.24,0,0.5,0.38,0,0.94,0,0,15.03,0,0,123.38,0,2.74,0,0
 60-70,0,0,0,0,1.23,0.67,0,27.83,0,0,126.15,0,0,0,0.64,0,1.2,0,0,1.24,18.87,0.85,0,57.46,0,6.44,0,0,0,0,0,4.49,1.58,0,88.6,0,0,0,0
 72-82,0,0,0,0,0.56,2.34,0,13.39,0,0.51,211.51,0,0,1.5,0,0.66,1.24,0,0,0.5,13.27,0,0,47.54,0,7.1,2,0,0,0,0,0,0,0,63.76,0,1.51,0,0
 84-94,0,0,1.05,3.03,1.83,0,0,25.35,0,0.83,184.22,0.63,0,0,2.75,0,7.8,0,0,0,20.3,0,2.38,30.59,0,9.06,0.59,0,1.93,0,0,7.79,0,0,60.68,0,1.3,12.9,0
 96-106,0,0,0,0,2.04,9.79,0,8.81,0,0,216.81,0,0,0,0,0,5.11,0,0,0,17.04,0,0.66,35.21,0,11.16,2.73,0,2.18,0,0,4.79,0,0,48.42,0,0.98,1.13,2.89
108-118,0,0,0,1.49,3.8,0,0.58,9.62,0,0.44,166.97,2.37,0,0,0,0,6.48,0,1.88,0.54,8.27,0,0.93,19.48,0,4.15,0.54,0,2.85,0,0,8.01,0,0,21.41,0,1.09,0,1.15
120,0,0,0,0,6.13,0,0,0,0,2.17,137.09,0,0,0,0,0,16.97,0,1.12,0,9.58,0,0,60.44,0,12.05,3.73,0,0,0,0,14.18,0,0,14.62,1.52,0,0,0
