stage,endoderm,epidermis,eye,fin.mesenchyme,glial,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,12.79,0,0,9.32,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0,0,0,0,0
 14-21,0.88,1.67,0,0,0,0,0,1.21,0,0,2.79,0,0,0,0,1.66,0.92,2.35,0
 24-34,0,0,0,1.15,0.9,0,0,0.81,0,0.85,3.12,0,0,0,0.88,0,0,8.02,0
 36-46,0,0,0,0,0,0,0,4.01,0,0,18.75,0,0,0,0,0,0,6.61,0
 48-58,0,0,1.01,0,0,0,0.59,0,0.7,0,22.48,0,2.85,0,0,0,0,0.87,0
 60-70,0,0,5.88,0,0,0,0,0,0,0,13.53,1.12,1.79,0,0,0,0,1.27,0
 72-82,0,0,2.07,0,1.22,0,0,1.87,0,0,16.52,0,1.06,0,0,0,0,1.14,1.04
 84-94,0,0,2.98,1.08,0,0,0,4.97,0,0.93,19.47,1.05,0,0,0,0,0,0,0
 96-106,0,0,1.4,0,0,0,0,0.79,0,0,2,0,0,0,0,0,0,2.82,0
108-118,0,1.49,4.54,3.75,0,0.42,0,5.03,0,0,25.83,0,0,0,0,0,0,0,0
120,0,0,4.56,0,5.66,0,0,0,0,0,24.61,0,0,0,0,0,0,0,0
