stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,148.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.62,241.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0
  7-9,5.43,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.12,0,26.31,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.98,0,0,0,6.08,0,0,0,0,0,0,0,0,67.43,20.81,41.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,3.43,19.21,0,0,0,0,2.2,5.56,0,0,0,0
 24-34,0,0,1.51,1.22,0,6.06,0,1.36,0,0.61,3.25,0.63,2.16,0.68,3.99,12.41,0.61,7.77,78.82,1.02,0,0.74,1.65,0,21.46,0,1.07,0,5.5
 36-46,0,0,0,0.57,0,2.16,0,0,0,0,10.59,0,0,0,0,3.38,0,1.36,30.59,0,0,0,1.73,0,5.65,0,9.84,0,11.04
 48-58,0,0,0,0,0.45,0.48,0,0.75,0,3.41,3.54,0,0,0,0,7.25,0,0.88,7.47,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.68,0,0,0,0,3.49,0,5.9,0,0,0,0,0,4.52,0,0,20.47,0,0,1.89,0,0,0,0,0,0,0
 72-82,0,0,0,2.72,1.78,1.28,0,3.08,0.93,0,5.07,0,0,0,0,5.95,0,0,13.05,0,0,0,0,0,0.79,0.87,0,2.98,0
 84-94,0,0,0,9.02,4.32,0,0,9.73,0.76,2,1.82,0,1.02,0,0,11.57,2.87,0.63,5.72,0,0,0,0,0,0,8.61,0,0,0
 96-106,0,0,0,7.87,0,6.14,2.04,2.21,2.37,0,7.49,0,0,0,0,3.63,2.07,1.41,4.59,0,0,1.45,0,0,0,7.79,0,0,0
108-118,0,0,0,18.01,1.03,6.15,0,0,3.04,0,12.64,1.31,0,0,0,6.2,1.78,1,6.24,0,0,0.92,0,0,1.63,7.88,0.45,0,1.26
120,0,0,1.28,12.52,0,0,0,14.45,0,0,13.72,1.35,0,0,0,54.37,0,3.33,9.23,0,0,0,0,0,0,13.99,0,0,0
