stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1726.45,47793.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2291.04,0,0,0,0,0,0,0,0,0,0,0
  5-6,1370.97,19053.44,0,20.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.33,15.93,0,0,96.5,345.73,0,0,0,0,0,0,0,0,0,0,0
  7-9,46.15,38.54,0,14.7,0,0,0,58.92,0,0,0,0,0,49.06,0,0,0,0,0,0,0,0,0,0,0,976.54,85.82,0,0,320.9,6.74,264.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.55,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,286.83,5.55,0,0,51.25,0,23.54,0,24.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.9,67.67,0.97,0,2.92,0,0,0,0,2.05,0,0,244.79,0,0,0,1712.29,0,0,0,0,0,39.66,6.27,0,1.29,0,2.52,10.01,2.15,0,1.99,11.5,3.95,0,0,0,0,0
 24-34,0,0,0,2.05,9.93,0,0,2.66,0,0,0,2.34,3.05,0,0,760.31,0.77,0,1.26,1223.7,0,5.28,0,0,17.14,58.18,0,1.36,0,0,1.77,1.06,0,0,1.49,1.4,13.27,0,0,2.61,0,0
 36-46,0,0,0,0,1.11,34.04,0,4.86,0,3.83,0,0,0,0,5.59,1692.18,0,0,0.65,218.16,1.09,2.81,0,0,0,57.41,0,0,1.22,0,2.51,0.81,0,0,0.86,0,14.07,0,0,0,0,9.33
 48-58,0,0,0,0,0.54,0.73,0,13.77,0,0,0,8.32,0,0,0,1775.65,0.49,0,0,0,0,8.75,0,0,6.33,39.72,0,1.16,0,0,1.05,0,0,0,0,0,13.62,0,0,0,0,7.88
 60-70,0,0,0,0,0.66,0.57,0,13.72,0,0,4.21,2.31,0.63,0,0,1724.5,1.74,0.85,0,0,5.72,9.09,0,0,0,35.35,1,0,0.81,0,1.01,0,0,0,0,0,2.11,0,0,5.5,0,0
 72-82,0,0,0.83,0,2.03,3.81,0,29.59,3.59,0,1.76,16.68,5.61,0,0,2132.25,0.83,0,2.39,7.38,0,12.75,1.52,3.75,1.4,40.61,0,0,0,0,1.07,0,0,0,0,0,3.25,1.21,0.88,2.64,1.33,0
 84-94,0,0,2.8,0,1.54,3.48,0,9.26,0,1.23,0,0,6.93,0,0,3158.88,0,0,1.05,0,0,10.41,0,1.32,0,24.26,0,0,0,0,8.52,0,0,0,0,0,2.65,2.79,0,7.76,0,0
 96-106,0,0,0.99,0,12.06,10.96,6.34,48.73,0,0,0,21.83,11.46,0,0,3596.99,1.68,0,4.96,10.36,0,34.51,4.91,0,0.57,68.02,0,9.97,0.57,0,7.3,0,0,0,0.6,0,1.73,9.88,1.48,39.9,1.53,0
108-118,0,0,0,0,17.33,15.46,0,42.81,3,2.91,0,11.25,30.33,0,0,3499.74,2.34,0.54,1.07,3.49,0,24.55,0,0,1.74,98.2,2.26,3.87,0,0,6.3,0,0,0.41,0.86,0,1.08,1.06,0,23.17,0,0.82
120,0,0,0,0,2.66,10.22,0,14.43,3.02,0,0,10.06,18.66,0,0,3424.19,2.86,0,5.13,0,0,18.98,0,0,0,52.45,2.47,0,0,0,3.12,0,0,0,0,0,2.96,1.47,0,17.05,7.28,3.58
