stage,blastomeres,erythrocytes,eye,glial,lateral.line,mesenchyme,muscle,neural,notochord,slow.muscle,somites,spinal.cord,vasculature
  3-4,77.99,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.31,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.29,2.32,0,0,0,0,0
 24-34,0,0.95,0,0,0,0,0,26.7,0,0,0.8,0,0
 36-46,0,0,0,0,0,0,0,17.28,2.73,0,0,1.9,0
 48-58,0,0,2.25,8.38,0,0,0,17.55,0,0,0,1.08,0
 60-70,0,0,5.31,0.57,0,0,0,27.46,0,0,0,0,2.55
 72-82,0,0,15.7,0.9,0,0.8,0,10.35,0,0,0,0,0
 84-94,0,0,5.5,3.21,0,0,0,13.38,0,0,0,2.02,0
 96-106,0,0,0.91,4.26,0,1.67,0,15.55,0,0,0,0,0
108-118,0,0,4.82,0.83,0,0,0,14.15,0,0.66,0,0.48,0
120,0,0,0,12.72,1.6,0,0,47.39,0,0,0,0,0
