stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.6,69.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,158.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,5.08,0,0,7.45,0,11.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98,0,0,0,13.46,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.85,1.4,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,4.09,0.91,1.09,0,0,0,0,0
 24-34,0,0,0,0.62,17.43,2.3,0,7.79,0,0,0,0.94,0,0,1.06,0,1.5,0,0,0,0.59,1.76,0,0,0.65,152.41,1.14,4.91,0,0,0,0,0,18.74,0,23.04,0,0,0,0,0
 36-46,0,0,0,0,2.32,0.81,0,22.68,0,0,0,3.29,0.67,0,0,0,0,0,0,0,0,0,0,0,2.21,389.35,0.64,2.23,0,0,3.93,0,0,8.81,0,87.73,0,0,0,0,0
 48-58,0,0,0,0,1.29,0,0,226,0,0,0.78,6.19,0,0,0,0,0,0,0,0,0,4.17,0,0,1.53,817.37,0,2.27,0,0,0.41,0,0,1.06,0,125.27,0,0,0,0,2.94
 60-70,0,0,0,0,2.67,0,0,1575.37,0,0.69,0,29.51,0,0,0,0,0,3.59,0,0,0,5.21,0,0,0,1565.03,0.58,3.09,0,0,2.61,0,5.3,2.54,0,163.7,0,0.83,0,0.98,5.91
 72-82,0,0,0,0,1.37,0.84,0,1307.28,0,0.65,0,36.28,0.64,0.65,2.04,0,0,2.8,0,0,0,15.43,1.31,3.96,0,1622.31,1.67,2.41,2.96,0,0.95,0,0,0,0,84.29,0,0,0,1.14,7.46
 84-94,0,0,0,0,3,3.17,0,849.32,0.67,0,2.34,18.27,3.33,0,0.85,0,0.62,0,0.83,0,0,24.83,0,0.63,12.6,984.02,0.65,0,30.77,0,2.8,0,0,0,0,53.3,0.64,1.53,0,0,0
 96-106,0,0,0,0,5.56,4.17,0,530.47,0,0,0,21.32,0,0,0,0,0,0,0,0,0,13.81,0,1.32,10.77,687.09,0,0,1.88,0,0,0,0,0,0,19.64,1.31,2.03,1.47,4.71,0.91
108-118,0,0,0.83,0,9.3,7.42,2.25,414.17,0.46,0,0,28.46,5.34,0,0,2.22,1.01,0,0,5.72,0,13.9,0,5.7,0.94,817.29,0,0,0,0,0,0,0,0,0,20.42,2.19,0,3.34,1.05,1.55
120,0,0,0,0,11.19,5.9,0,463.84,0,0,0,35.44,0,0,0,0,0,0,0,0,0,23.59,1.65,0,2.74,1749.94,0,0,9.19,0,0,0,0,0,0,50.56,0,0,0,17.7,0
