stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  3-4,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,44.35,3.59,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,38.8,0,0,0,44.35,0
 24-34,0,0,0,23.64,0,0,0,0,0,9.57,0.72,117.97,0,0,0,54.24,0
 36-46,0,0,0,120.3,0,0,0.64,0,0,2.68,0,87.02,0,5.85,0,45.2,0
 48-58,0,0,0,134.85,5.72,0,0,0,0,7.41,0.66,63.79,0,0,0,14.41,0
 60-70,0,0,0,131.61,0,0,0,0,0,0,0,49.13,0,0,0,8.81,0
 72-82,0,0,0.62,82.83,0,0,0,0,0,1.26,0.53,37.33,0,1.24,0,2.55,0
 84-94,0,0,0,100.74,3.93,0,0,0,2.26,1.32,0,21.01,0,0,0,0,0
 96-106,0,0,0,62.06,0,0,0,0.67,0,0.7,9.68,11.94,0,0,0,0,0
108-118,0,0,0.5,104.51,3.88,0.63,0,0,0,0,1.2,35.61,0,0,0.73,0,1.11
120,0,1.66,5.79,249.3,6.21,7.81,0,0,0,1.51,26.19,104.81,0,0,0,21.3,0
