stage,epidermis,eye,mesenchyme,neural,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,2.09,0,0,1.63,7.38,2.94,5.65,0,0
 24-34,0,0,0,2.79,2.46,0,1.1,0,0
 36-46,0,0,0.81,3.84,7.12,0,0,0,0
 48-58,0,0.57,0.57,0,2.07,0,0,0,7.26
 60-70,6.16,0,0,0.57,0,0,0,0,0
 72-82,0,2.5,0,1.01,0,0,0,0.57,0
 84-94,0,0,0,8.45,0,0,0,0,0
