stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,12.79,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.46,0,0,36.05,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.94,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,14.56,8.04,0,0,0.87,0,0.92,0,0.89,7.61,0,0,0,0
 24-34,0,0,0,5.92,0,1.01,0,0,0,1.63,0,0,0,0,0.6,0,0,1.4,255.88,5.33,2.13,0,0,0,0,0.83,2.58,4.85,0,0,0,0
 36-46,0,0,0,0,0,5.73,0,0,0.73,0,0,0,0,0,0,0.78,0,0,437.82,11.56,0.72,0,0,0,0,0,0,10.34,0,0,0,3.04
 48-58,0,0,0,0,0,28.26,0.38,0,1.4,3.02,0,0,0.48,5.94,3.24,0.5,0,0,360.1,0.9,6.26,0,0,0,0,9.46,0,22.15,0,0,0,0
 60-70,0,0,0,0,0,33.33,0,0,1.37,11.07,0,0,0,0,30.51,0,0,1.73,432.38,1.96,0,0,0,0,0,0,0,61.04,0,0,0.8,0
 72-82,0,0,0,0.58,0,41.37,0,0,0,4.52,1.57,0,0,0,22.95,0,1.57,3.66,491.19,0.52,0,0,0,0,0,0,0,31.6,0.5,0,0,1.88
 84-94,0,0,0,0,6.99,60.32,4.02,0,0.62,15.43,0.68,2.01,0,0,33.31,0,0,4.56,340.96,6.5,0,1.35,0,0,0,0,0,43.22,0,0,1.01,0
 96-106,0,0,0,5.47,0,49.84,0,0,1.47,13.81,0,0,3.35,0,13.35,0,0,1.59,389.84,1.37,0.73,0,0,4.93,0,0,0,23.56,0.8,7.79,5.28,0
108-118,0,0.47,0,0.99,0,50.77,0,0,0.85,18.09,0,0,0,0,14.61,0,0,0,627.66,3.42,7.27,2.88,0,0.48,0,1.41,0,33.7,0,0,2.17,0
120,0,0,0,1.46,0,35.85,2.29,1.33,0,13.57,0,0,0,0,3.56,0,0,2.7,727.97,0,0,19.74,0,0,0,0,0,60.7,0,0,0,0
