stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.64,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.6,1.76,0,0,0,0,0,0
 36-46,0,17.96,3.25,0,0,0,0,0,0,0,0,8.43,5.2,0,0,0,0,0,0
 48-58,0,0,27.48,0,0,0,0,0,0,0,0,17.38,3.45,0,0,2.83,0,0,0
 60-70,0.7,0,441.84,0,0,0,4.16,0,0,0.66,0,90.57,2,0,0,1.85,0,0.58,0
 72-82,0.5,2.48,1199.36,0,0,0.59,9.96,0,0,8.4,0,298.01,8.16,0,0.61,0,0,0.52,1.83
 84-94,0,1.71,963.87,0.56,0,0,19.36,0,0.9,17.84,3.02,169.93,6.6,0,0,5.19,0,6.47,0
 96-106,0,2.19,1276.14,0,0.58,0,37.13,0,0,12.41,0.89,188.17,20.35,0.85,1.09,0,1.14,3.24,0
108-118,0,5.01,1338.5,0,0,0,9.52,1.81,0,9.24,0,168.62,16.09,0,0,0.47,0.54,0,0
120,0,8.8,615.8,0,0,0,28.29,0,0,0,0,316.86,37.12,3.28,0,4.47,0,1.51,0
