stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,neural,periderm,somites,spinal.cord
  3-4,11.47,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.4,0,0,0,0,0,0,0,0,12.52,0,0
 10-12,0,0,0,0,0,0,0,0,6.8,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.78,0,0.94,1.01
 24-34,0,0,0,1.7,0,0,0,0,6.51,0,0,1.62
 36-46,0,0,0,0.96,0,0,0,0,1.76,0,0,0
 48-58,0,0,0,0.97,0,0,0.49,0.73,0.95,0,0,0
 60-70,0,0,0,7.58,0,0,0,0,0,0,0,0
 72-82,0,0,0.8,0,0,0,0,1.32,0,0,0,4.18
 84-94,0,0,0.68,9.55,0,0,0,0,1.57,0,0,0
 96-106,0,4.93,0,0,0,0,0,0,1.25,0,0,0
108-118,0,0,0,0,0.44,0,0,0,0,0.57,0,0
120,0,0,0,0,0,1.04,0,0,14.22,0,0,0
