stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.39,0,2.7,0.86,80.2,19.64,0,21.84,0,2.08,0,9.44,2.61,19.89,6.89,1.05,5.64,0,0,0,0.94,33.85,1.43,14.98,349.76,16.02,3.96,5.08,4.29,0,26.88,65.37,9.05,30.95,82.01,146.93,0,0,10.37,0,1.22
 24-34,0,0.83,0.62,0,2.2,0,0,4.46,0,0,0,2.52,0,2.27,0,0.87,0,0,0,0,0.78,2.55,2.11,3.56,86.12,0,7.76,0,0,0,2.72,0,0.84,0.88,3.22,23.13,0,0,4.35,0,1.29
 36-46,0,0,0,0,0.88,1.52,0,12.96,0,1.19,0,4.55,0,0,0,1.52,0,0,0,0,0,11.5,0,0.62,143.34,0,5.94,0,0,0,0,0,0,0,0,16.27,0,0,0,0,2.36
 48-58,0,0,0,0,0.43,0,0,42.29,0,0,0,3.52,0,0,0,0,0,0,0,0,0,10.88,0,1.27,53.44,0,13.16,0,0,0,4.05,0,2.84,0,0,25.39,0,0,0,0,0
 60-70,0,0,0,0,3.91,0,0,77.69,0,0,0,2.14,0,0,0,0,0,0,0,0,0,21.28,0,0,63.6,0,10.84,0,0,0,2.92,0,0,0.62,0,26.25,0,0,1.54,0,10.68
 72-82,0,0,0,0,2.21,8.52,0,64.64,0,0,1,2.09,0.76,0,0,0,0,0,1.26,0,0,19.94,0,2,43.76,0,5.57,4.57,0,0,3.59,0,0.57,0,0,3.43,0,0.96,2.8,0,3.09
 84-94,0,0,1.46,0,2.18,1.42,0,52.44,0,0.66,0,0.69,0,0,0,1.1,0,0,0,0,0,41.53,0,1.01,33.81,0,11.66,2.93,0,0,6.71,0,0.76,0,0,10.69,0.86,1.64,3.07,0,0
 96-106,0,0,0,0,4.46,16.11,0,105.98,0,0,3.06,9.08,0.72,0,0,8.28,0,4.48,0,2.28,0,17.66,3.55,3.14,57.6,0.57,13.08,4.43,0,3.41,5.56,0,0,0,0,6.06,0,0,4.11,1.78,3.81
108-118,0,0,0.84,0,8.68,1.51,0,117.66,0,0.41,2.44,28.98,1.14,0,0,0,0,0,0.47,0.6,0,58.37,1.01,2.92,146.15,4.59,6.04,6.27,0,1.96,2.68,0,0,0,0,17.71,1.58,1.26,1.04,0,3.9
120,0,0,0,0,7.66,7.33,2.35,129.24,2.98,2.66,1.92,9.96,2.14,0,0,2.76,3.6,0,0,0,0,25.43,18.21,0,152.31,1.33,32.04,1.4,0,0,22.49,0,0,0,0,0,0,0,1.41,0,0
