stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.86,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,602.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,66.01,0,0,0,0,0,0,0,0,0,1.64,4.6,0,0,0,0,0
 24-34,0,1.05,0.83,15.89,1.09,0,10878.72,0,1.07,0.63,9.04,1.29,1.42,0,0,2.02,0.85,0.75,21.11,0,34.14,0.79,0,21.58,547.25,0,6.44,3.05,0,0.99,55.9,0.97,1.32,6.26,2.32,65.16,0,0,31.83,0,3.96
 36-46,0,0,0,11.48,0,0,18594.63,0,0,0,14.45,0.72,0,3.37,11.82,0,9.3,0,25.95,10.8,50.17,0.95,0,16.93,609.37,2.16,4.28,2.7,0,0,36.27,0,4.65,0.67,0,131.81,0,0,5.66,0,27.32
 48-58,0,0,0,14.04,0.57,0,12773.82,5.77,0.74,0.53,25.11,3.3,0,1.62,4.08,0,6.45,0.65,18.95,7.59,38.04,0.71,0,5.77,481.68,10.21,0.85,0,0,0.95,15.26,0,3.42,3.57,0,96.13,0,0,11.07,0,9.15
 60-70,0,0,0,9.32,1.55,0,14504.32,0.58,7.02,0.59,32.32,0,0,0,0.65,3.14,2.8,0,4.08,0,32.82,2.63,0,1.22,374.8,3.23,0,5.85,0,0,27.08,0,1.13,0,0,39.16,0.81,0.8,2.03,0,55.07
 72-82,0,0,0,6.68,2.03,0,11382.09,1.9,0.56,8.59,16.56,0,0,0.58,1.21,0,2.68,1.67,1.32,6.67,31.42,0,0.67,7.64,221,3.23,2.11,0.8,0,0,16.05,0,3.18,0,0,22.6,2.57,0.88,1.98,0,10.75
 84-94,0,0,0,15.79,9.74,0,12149.36,0,8.07,0.82,18.23,6.05,0,0,1.27,0,0,0,31.39,0,19.71,1.18,0.76,10.37,147.97,0,3.32,0,0,0,15.44,0,13.66,2.53,0,27.42,0,6.28,0,6.22,16.02
 96-106,0,0,0,5.75,28.11,47.61,8742.09,0,11,6.62,42.02,0.76,0,7.09,0.58,8.38,0,1.83,29.5,0,34.4,3.31,0,2.73,119.14,0.77,1.99,0,0,0,10.9,0,23.9,0,0,0,5.82,0,5.38,1.06,0
108-118,0,1,0,8.53,16.52,0.95,11136.63,0,1.88,2.02,29.25,11.95,0,1.69,5.08,0,10.57,0,29.19,0,95.25,5,3.4,5.09,241.74,0,4.98,2.1,0,9.19,22.75,0,11.22,0,0,16.54,1.83,1.11,8,3.4,5.19
120,0,0,0,44.36,6.64,0,8674.18,0,0,5.01,40.17,7.66,0,0,5.23,0,0,1.07,20.68,0,86.87,0,0,0,190.4,0,0,0,0,0,30.34,0,4.54,0,0,2.14,2.06,5.64,2.91,0,8.45
