stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,taste,vasculature
  5-6,11.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,0,0,0,0
 14-21,0,0.8,0,0.88,0,0,0,0,0.81,0,0,0,1.03,1.44,0,0,0,1.26,0.81,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.26,1.54,0,0,0,0,1.65,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,2.4,0.69,7.88,0.6,0,0,0,0,3.37,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0.74,0,0.56,6.37,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,3.57,0,0,0,0,0,0,2.17,16.43,0,2.47,0,0.67,0,2.83,0,0.64
 72-82,0,0,0,0,9.11,0,0,1.26,0,0,0,0.8,15.85,0,0,0,0,0,3.36,0,1.32
 84-94,0,0,0,0,17.5,0,0,0.74,0,0,0,14.03,4.35,0,0,0,0,0,0,0,3.94
 96-106,0,0,0.81,0,6.63,0,0.96,2.97,0,0,0,2.43,2.06,0,0,0,0,0,0,3.27,1.9
108-118,0,0,0.66,0,20.62,0,0,6.65,0,0,0.89,0.98,11.97,0,0.86,0,1.35,0,0,11.17,1.97
120,0,0,0,0,25.85,10.43,0,19.34,0,0,0,0,16.42,0,0,0,0,0,0,1.27,0
