stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,78.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.81,0,8.53,0,0,0,0,0,0,0,0,33.31,0,0,0,0,0,0,0,0,0,0,0,154.9,5.53,0,0,43.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.73,0,0,0,11.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.06,0,0,0,52.52,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.29,9.5,0,0,7.47,0,0,3.48,0,0,0,0,0,0,0,0,0,7.33,0,0,10.5,154.98,0,0.84,1.27,2.18,0,1.66,0,0,6.46,68.07,0,0,1.5,0,0
 24-34,0,1.94,0,2.92,0.67,0,38.55,1.41,1.43,1.31,0,0,0,0,0,0,0.73,2.19,0,30.23,0,0,17.95,521.21,0,5.59,1.37,0,5.21,0,0.81,0,0.62,121.49,0,0,1.78,0,2.59
 36-46,0,0,0,2.77,0,0,129.57,0,0.62,11.82,0.56,0,0.69,0,0,0,0,0,2.88,30.63,0,0,8.52,1044.84,13.72,5.09,1.96,0,8.6,0,0,0,0,129.82,0,0,5.95,0,0
 48-58,0,0,0,2.68,0,0,371.58,2.95,0,19.14,0,0,0.38,0,0,0,0,0,17.93,30.24,0,1.08,5.76,1176.74,5.2,7.47,0.42,0,1.36,0,0.61,1.31,0,170.99,0,0,5.51,0,0
 60-70,0,0,0,4.98,0,0,922.14,6.08,0.81,35.76,1.57,0,0,0,0,0,0,0,0,38.39,0,0,1.65,1105.51,8.75,2.74,4.83,0,22.46,1.38,0,0,0,138.16,0,4.5,0,0,5.65
 72-82,0,0,0,11.75,1.09,0,783.55,0,3.54,57.3,0.56,0,0.58,0.73,0,0,0,0,7.21,55.24,0,4.33,3.43,1060.36,0,1.28,1.78,0,0,0,0,0,0,118.75,0.82,0.67,0.77,1.09,0
 84-94,0,1.29,0,7.6,0.6,0,513.65,0,0,56.21,5.5,0,1.81,0.55,0.79,0,0,0,0.58,97.31,0,0,5.23,812.08,0,0,0.59,0,12.54,0,0,0,0,45.29,0,2.47,2.39,6.45,6.15
 96-106,0,0,0,7.58,1.21,0,542.52,0,0,57.67,1.03,0,0,0,1.54,0,0.63,10.33,7.54,66.75,0,0,4.99,610.16,0,0,0,0,3.1,0,0,0,0,30.07,0,0,6.19,0.93,11.79
108-118,0,0.85,0,17.59,3.07,0.72,424.85,0,1.57,73.11,1.67,0,0,1.47,0,1.59,0,7.57,0.5,45.41,1.14,0,0.42,818.11,0,0.57,3.23,0,3.39,0,0.94,0,0,33.89,0.68,0,0.42,2.52,1.25
120,0,0,0,10.13,1.29,0,349.17,0,9.59,80.62,0,0,3.15,9.7,0,1.62,6.94,0,3.24,42.09,0,8.27,0,1115.04,3.06,0,3.96,0,0,0,0,0,0,21.56,1.81,0,0,0,0
