stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0
  7-9,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,21.31,0,0,8.6,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,16.48,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.31,1.88,106.05,0.97,0,3.91,0,2.66,0.88,0,0,0,0
 24-34,0,0,0,1.4,0,0.64,1.91,0,0,0,0,0,1.16,0,2.46,0.87,1.89,136.39,0,0,0,0.61,0,1.43,0,0,6.03,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0.56,10.57,0,30.5,0,0,0,0.81,0,0.73,0,0,8.56,0
 48-58,0,0,0,0,0,0,1.83,0,1.95,0,0,0,5.03,0,1.27,2.65,0,6.29,0,3.62,0,0,0,0,0,0,42.23,0
 60-70,0,0,0,0.62,0,4.93,1.2,0,9.53,0,1.81,0,20.87,0,0,1.26,0,2.85,0,0,0,0,0,0,0,0,41.3,0
 72-82,0,0,0,0,1.54,1.97,3.67,1.33,4.6,0,0,0,40.08,3.23,0,1.24,0,2.56,0,0,0,0,0,0,0,0,126.87,2.06
 84-94,0,0,0,5.4,0,0,1.17,0,7.09,0,0,0,12.13,0,0.6,2.94,0,9.07,0,0,0,0,0,0.76,0,2.45,59.56,0
 96-106,0,0,0,1.87,0,2.57,4.79,0,3.63,0.92,0,0,32.93,0,0,16.17,0,4.2,0,0.73,0,0.81,0,0,0,0,140.5,2.09
108-118,0,0,0,0,0,2.89,0,0,16.25,0,0,1.21,61.25,0,0,22.34,0,9.14,0,0,0,1.9,0,0,0,0.9,78.37,0
120,0,0,0,0,2.22,0,0,0,0,0,0,0,55.22,0,0,20.16,0,6.65,0,0,0,0,0,0,3.62,0,120.86,0
