stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,99.34,1289.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.49,590.89,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,20.65,0,9.48,0,0,0,67.14,0,0,0,0,0,50.75,0,0,0,0,0,0,0,0,0,0,432.78,9.72,0,0,131.72,0,0,11.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,38.76,0,37.59,0,6.13,0,42.2,0,0,0,0,0,61.48,0,0,0,0,3.73,0,0,0,0,0,599.03,4.6,0,0,166.92,0,10.64,3.03,0,3.53,0,0,5.09,0,0,0,0,0
 14-21,0,0,0.8,3.07,14.18,8.85,0,7.91,0,0,0,5.08,1.82,2.35,1.13,0,0,0,0,0,6.98,0,0,4.4,82.56,0,0,1.92,4.1,0,2.25,0,4.9,2.85,2.79,18.61,41.63,0,0,3.57,0,0
 24-34,0,0,1.64,0.76,10.69,2.05,0,12.52,0,0,0.76,3.52,0,0,0.67,0,0,0,0,0,30.5,0,0.82,6.42,218.25,3.28,1.31,3.18,0,0,7.08,0,0,1.71,1.16,2.04,46.41,0,0,9.43,0,4.41
 36-46,0,0,0,0,2.36,0,0,31.19,0,0.89,1.46,12.96,0.58,0,3.61,4.65,0,0.75,15.36,10.94,15.27,0.58,0,5.29,325.83,5.62,2.36,0.61,0,0,13.39,0,0,1.18,0,0,69.06,0,0,9.06,0,0
 48-58,0,0,0,0,9.45,0,0,70.32,0,2.25,2.56,52.94,0,0,7.22,0,0.38,0.74,0,2.49,31.92,0.37,2.59,5.53,265.22,0,0.84,0.43,0,0,2.32,0,0,0.53,0.46,0,49.13,0,0,2.02,0,0
 60-70,0,0,0,2.79,0,0,0,94.83,2.18,0,3.31,34.74,0,0,0.75,0.83,1.91,0,1.92,0,59.64,0.9,0.88,2.36,182.17,0,1.02,1.82,0,0,8.85,0,0,0.97,0,0,40.43,0,0.71,2.8,0,0
 72-82,0,0,0,0,7.33,1,0.76,85.55,1.29,3.34,1.96,21.42,1.2,0,0.75,3.29,0,0,0,0,45.79,0,1.19,3.62,200.28,0,1.22,0.54,0,1.31,4.23,0,0,0,0,0,35.82,0,2.09,5.43,4.58,0
 84-94,0,0,0,0,9.57,0.64,0,52.63,0.91,0,1.27,17.92,0.57,0,1.31,2.03,0,0.66,0.57,0,38.77,0,1.37,0,111.12,0,0.95,4.35,0,0,10.32,0,0,0.67,0,0,10.14,4.28,3.97,2.45,8.68,17.48
 96-106,0,0,1.14,0,5.86,3.17,0,51.24,0.71,1.47,6.04,53.01,1.97,0,0,1.24,0,0.63,0,0.68,18.18,0,10.96,10.61,194.77,0,1.36,0,0,0,3.67,0,0,0,0,0,11.6,0,0,2.22,0,0
108-118,0,0,0.94,0,8.21,1.32,2.62,35.12,0,1.76,0.57,30.06,1.68,0,0.43,1.25,5.66,0.83,2.25,0,33.43,0,0,6.87,141.35,0,0.88,6.14,0,0,4.52,0,0,0.46,0,0,5.66,0,1.44,8.01,1.65,2.37
120,0,0,0,0,6.66,1.6,0,68.08,0,1.58,0,14.8,1.1,0,0,2.55,0,0,0,0,44.49,0,0,3.22,154.17,0,0,4.24,0,0,6.14,0,0,2.43,0,0,1.95,1.81,3.52,0,0,0
