stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,melanocytes,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,spinal.cord
  5-6,8.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,19.5,0,12.85,0
 10-12,0,5.18,0,0,0,0,0,0,0,0,29.75,0,11.67,0
 14-21,0,0,3.37,0.81,0,0,0,0,3.49,0,0,0,0,0
 24-34,0,0,0,1.29,0,0,0.64,0,0.83,1.21,3.54,0,0,0.61
 36-46,0,0,0,1.15,4.8,0.74,0,0,0.72,0,6.62,0,0,0.84
 48-58,0,0,0,0.83,1.32,0,0,0,0,1.38,9.72,1.2,0,0
 60-70,0,0,0,16.35,1.96,0,0,0,0.71,0,5.9,0,0,0
 72-82,0,0,0,96.63,7.28,0,0,7.34,0.68,0,7.96,0,0,0
 84-94,0,0,0,167.6,0,0,0,0,0,0,5.19,0,0,0
 96-106,0,0,0,125.92,11.65,0,0,0,0,0,29.21,0,0,0
108-118,0,0,0,96.01,0.61,0,0,0,2.33,0,1.11,0,0,0
120,0,0,0,125.71,7.76,3.44,0,0,0,0,2.56,0,0,0
