stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,pericytes,periderm,spinal.cord,vasculature
  5-6,16.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,9.73,2.29,0,0,0,0,0,1.97,1.2,0,0,1.63,0,0,0,0,20.6,0,0
 24-34,0,0,0,0,0,0,0,0,1.93,0,0,0,0,0,0,0,0,2.37,0,0
 36-46,0,0.76,0,0,0,0,0,0,13.29,0,0,0,0,0,2.41,0,0,4.4,1.24,0
 48-58,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0.85,0,0.84
 60-70,0,3.34,0,0,6.11,0,0.65,0,14.17,0,3.75,7.35,0,0,0,0,0,4.02,0,0
 72-82,0,2.13,0,0,0,0,0,0,10.47,0,1.82,0,0,0,0,0,0,0,0,0
 84-94,0,2.74,0.89,0,0,0,0,0,7.37,0,0,0,0,0,0,0.68,0,0,0,0
 96-106,0,1.64,1.08,0.66,7.65,0.57,1.31,0.92,28.88,0,0.63,6.64,0,2.01,0,0,0,2.42,0,0.75
108-118,0,0,3.13,0.56,0,0,0.46,0,26.92,1.28,0,1.34,0,0,6.44,0,1.51,0,0,8.34
120,0,1.21,1.68,0,0,0,0,0,54.2,0,0,0,0,0,0,0,0,0,0,2.67
