stage,epidermis,eye,glial,gut,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord
  7-9,0,0,0,0,0,0,6.22,0,0,5.86,0,0,0
 10-12,0,0,0,0,0,0,10.8,0,0,5.98,0,0,0
 14-21,1.06,0,0.86,0,0,0,2.88,0,1.02,0.95,1.26,1.37,4.83
 24-34,0,0.66,5.21,0,0.61,2.25,3.34,0,1.38,0,0,0,13.69
 36-46,0,2.92,0,0,0,0,2.53,0,0,0,0,0,0
 48-58,0,2.55,0,0,0.65,0,5.02,1.96,0,0,0,0,0.52
 60-70,0,2.79,0,0,0.68,0,1.04,0,0,0,0,0,0.6
 72-82,0,0,0.79,0,0,0,1.41,0.53,0,0,0,0,0
 84-94,5.48,0,0.83,0,2.11,0,0,0,0,0,0,0,1.07
 96-106,0,0,0,1.11,0,0,0,8.43,0,0,0,0,0
108-118,0,0.81,0.62,0,0.74,0,0,0,0,0,0,0,0
120,0,0,0,0,10.65,0,0,0,3.63,0,0,0,0
