stage,epidermis,eye,glial,liver,mesenchyme,neural,olfactory,periderm,pronephros,spinal_cord,taste
 10-12,0,9.28,0,0,0,0,0,0,0,0,0
 14-21,0.88,0,0,0,0,1.05,0.98,0,0,3.32,0
 24-34,0,0.97,0,0,0.82,24.78,4.62,0,0,7.19,0
 36-46,0,0,0,0,0,10.69,3.38,0,0,5.06,0
 48-58,0,0,0,0,0,17.95,0,0,0,0.68,0
 60-70,0,0,0,1.72,1.39,19.51,1.31,0,0,0.66,0
 72-82,0,0.53,0,0,2.7,23.42,2.57,0,0.63,1,4.74
 84-94,0,0,0.96,0,0,4.05,4.09,0,0,2.11,1.5
 96-106,0,0,0,0,0,10.66,0,0,0,0,0
108-118,0,0,0.47,0.5,0,7.15,0,0.5,0,0,0.46
120,0,0,0,0,0,4.07,0,2.61,0,0,0
