stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0
 10-12,10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.69,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,14.41,0.98,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,1.56,215.33,0,0,21.56,0,0,0,0,2.05,39.33,0,0,0,0,0
 24-34,0,0,30.88,0,0,0.83,0,0,0,0,0,0,0,0,0,2.34,10.53,0,0,2.13,865.72,0,9.08,4.63,0,0,0,0,2.57,156.7,0,0,7.64,0,0
 36-46,0,0,1.28,0,0,54.94,0,0,1.81,0,1.34,0,0,0,0,0,24.41,0,0,0.72,1619.73,0,5.62,0,0,0,46.53,0.63,0,65.35,0,0,0,0,0
 48-58,1.29,0,10.79,0,0,110.91,0,2.25,5.47,0,0,0,0,0,0.81,2.27,21.95,0,0,0.44,4722.59,0,3.69,0.98,0,0,0,1.52,0,135.98,0,0,3.68,0,2.42
 60-70,0,0,3.21,0,0,367.52,1.1,0,16.78,4.89,0,0.8,0,0,0,0,57.39,0,5.13,1.82,6675.3,0,9.13,1.01,0,0,2.92,0,0,361.78,0,0,4.48,0,9.48
 72-82,0,0.61,21.05,13.31,0,837.23,2.82,1.28,57.52,17.54,0,1.77,0,5.89,0.61,0,127.49,0,2.48,6.16,12072.39,0,0,4.03,0,0,5.85,0,0,396.99,4.63,1.33,4.44,1.79,18.17
 84-94,0,0,61.09,9.15,0,789.53,0.57,5.46,43.86,28.05,0,2.71,0,1.25,0,0,66.9,0,1.95,4.8,7159.51,0.62,2.16,6.22,0,4.76,6.96,0.62,0,274.16,0.97,0,6.25,24.53,0
 96-106,0,0.61,39.26,10.59,0.59,775.59,0,8.53,55.15,29.65,2.13,1.03,1.96,0,0.8,0,87.89,0,1.29,2.18,7503.73,0,1.63,2.94,0,6.63,7.23,0,0,120.52,0,0,6.08,0.67,0
108-118,0,0,27.49,3.25,0,854.91,0,0,75.35,14.75,0,1.61,0,0,3.13,0,154.03,0,0,13.15,6826.4,2.66,10.09,2.37,0,13.48,3.28,0,0,160.06,0,0,3.54,0,0
120,0,43.63,100.73,0,13,856.5,12,0,54.28,20.73,4.47,30.51,0,0,0,11.04,102.56,2.98,6.89,5.86,9292.72,1.38,13.53,4.43,0,0,3.23,0,0,122.73,2.25,0,9.12,4.54,0
