stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4.16,9.51,131,33.79,0,55.93,0,0,0,11.32,2.95,0,0.85,0,2.12,0,0,4.41,0,102.5,0,0,76.25,1019.24,15.73,8.17,6.95,60.76,0,5.23,3.76,155.47,1.3,6.19,104.05,300.03,0,0,7.04,0,0
 24-34,0,2.94,6.59,55.07,6.13,0,162.05,0,3.79,2.64,45.47,4.68,0,10.39,1.97,7.75,0,5.87,2.67,5.32,184.62,1.39,0,91.62,3060,4.8,23.12,13.14,0,0,23.59,0,0,6.1,12.91,41.95,672.73,0,0,44.65,0,13.76
 36-46,0,0,0,25.97,0.67,0,598.15,0,0,8.02,178.03,2.79,4.57,0.73,0.98,19.34,0,5.15,11.94,7.62,301.3,5.13,4.32,77.39,4297.75,23.78,37.78,12.07,0,2.1,65.47,0,0,3.04,0,2.07,990.14,0,0,22.53,0,9.18
 48-58,0,0,0,24.58,5.09,0,875.37,2.47,2.4,24.96,240.37,0.38,1.57,3.91,1.71,0.9,9.56,5.1,3.64,3.42,280.37,1.86,3.55,45.77,2385.74,4,17.69,23.74,0,1.57,23.75,0,0,1.88,1.82,0,572.81,0,1.64,18.91,0,12.39
 60-70,0.81,2.45,0,26.1,5,0,1764.85,4.76,4.74,13.59,251.69,2.03,0.78,2.33,13,2.5,3.11,6.67,5.16,7.71,483.9,4.87,21.13,44.65,2817.85,6.03,32.55,13.75,0,0.71,29.46,0,0,0,0,0,458.88,1.46,7.3,16.98,3.67,2.28
 72-82,0,3.16,0,30.88,41.24,0,1124.15,3.71,1.48,25.28,198.1,5.5,0.59,7.43,6.1,3.96,1.48,15.7,0,1.58,440.61,2.93,12.43,34.55,1757.79,2.56,39.36,14.82,0,1.4,13.02,0,0,0,4.35,0,198.95,0.8,9.22,42.72,4.93,10.07
 84-94,0,9.7,0,46.6,48.34,0,796.48,5.76,8.93,14.5,179.1,16.14,0.6,0,23.39,10.69,11.35,8.72,0.56,5.17,383.55,2.22,16.55,31.15,1284.28,5.14,53.56,19.22,0,8.67,45.01,0,0,0.62,0,0,169.68,3.07,7.33,61.84,6.97,4.81
 96-106,1.12,0,0,51.59,30.84,1.52,810.59,10.53,3.68,19.91,276.76,17.43,0,5.83,17.79,10.02,8.82,18.49,10.59,0.63,379.73,15.41,3.29,34.71,1028.17,5.54,56.09,18.99,0,14.64,63.33,0,0,1.49,0.84,0,68.99,0.81,3.74,39.26,14.94,17.06
108-118,0,4.03,0,65.05,31.58,3.24,655.4,7.27,16.01,15.07,230.34,21.97,0,3.56,22.95,6.35,18.56,15.89,4.17,1.36,414.05,4.15,13.33,46.43,1289.72,9.34,49.14,19.7,0,7.13,46.16,0,0,2.47,0.99,0,73.75,2.01,3.51,31.68,10.65,30.86
120,0,0,0,60.47,64.85,0,673.98,1.06,4.93,0,257.27,23.9,0,0,35.85,13.47,0,21.2,8.33,4.02,327.82,1.05,22.37,20.68,1421.72,13.85,25.68,24.38,0,13.12,51.31,0,0,1.56,0,0,66.59,15.52,9.83,38.38,14.71,13.4
