stage,epidermis,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,4.13,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.1,0,0,0
 36-46,0,0,0,0,0,16.36,0,0,0,0,0,0,0,0.62,0
 48-58,0,0,0,0,0,0,0,0,0,9.21,0,0,0.46,0,0
 60-70,0,0,0,0,0,0,0,0,1.58,2.26,0,0,0,0,0
 72-82,0,1.1,0,3.5,0,0,1.71,4.56,0,6.26,0,0,0,1.24,0
 84-94,0,0,0,1.23,0,3.36,1.22,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,11.69,0,1.51,0,0,0,2.39,0
108-118,0.55,0,0.65,1.56,0.48,0,4.42,2.2,0.52,0,0,0,0,0,0.99
120,0,0,0,1.43,3.54,0,4.74,0,0,0,2.88,0,0,10.87,0
