stage,blastomeres,epidermis,erythrocytes,eye,gut,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste
  5-6,26.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0
 10-12,0,0,0,0,0,0,0,0,17.17,0,0,0,0,0,0,0
 14-21,0,2.29,0,0,1.21,0,0,0,1.26,1.86,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0.69,0.6,0,0,0,0,0,0,0
 36-46,0,3.09,0,0,0,0,0,0,4.75,0,0,0,0,0,0.83,0
 48-58,0,4.21,0,0,0,0,0,0,2.53,0,0,0,0,0,0,0
 60-70,0,0,0,1.07,0,0,0,0,2.21,0,0,0,0,0,0,0.81
 72-82,0,0,0,0,1.44,0,1.75,0,0,0,0.49,0,0,0,0,0
 84-94,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.77,1.62,0,0,0,0,0,3.61,0,0,0.67,0,0,0,0
108-118,0,0,0,0,0,0,1.03,0,0.51,0,0,0,0,0,0,0.71
120,0,0,0,5.32,0,1.94,0,0,0,0,0,0,0,0,0,0
