stage,blastomeres,endoderm,eye,heart,mesenchyme,muscle,neural,notochord,otic,periderm,spinal_cord,vasculature
  3-4,21.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.67,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.52,0,0,0,0,6.16,5.37,0,0,0,0
 24-34,0,0,0,0,1.47,0.99,4.08,0,0,0,0.69,0
 36-46,0,0,0,0,2.63,0,1.95,0,0,0,0,0
 48-58,0,0,0,0,3.81,0,6.52,0,0,0,0,0
 60-70,0,0,7.55,0,0.6,0.6,3.62,0,0,2.09,0,0
 72-82,0,0,0,0,6.37,0,0,0,0,0,3.49,0
 84-94,0,0,0.71,0,3.87,1.11,0,0,1.27,0,0,0.69
 96-106,0,0,0.6,0,2.97,2.81,3.88,0,0,0,0,0
108-118,0,0,0.51,0.61,2.58,0.7,1.65,0.59,0,0,0,0
120,0,0,0,0,6.65,0,0,0,0,0,0,0
